model,family,fold,degree,penalty,C,log_loss,auc,accuracy,f1
glm_current_simple,statsmodels_glm,1,,none,,0.47712454169577967,0.84375,0.75,0.7368421052631579
glm_best_subset,statsmodels_glm,1,,none,,0.461064516647088,0.8694196428571429,0.7666666666666667,0.75
glm_full_degree2,statsmodels_glm,1,,none,,0.4621260359103055,0.8705357142857142,0.8,0.7857142857142857
ridge_poly1_C0.01,sklearn_regularized,1,1,l2,0.01,0.6588331493151067,0.7220982142857143,0.7,0.6666666666666666
ridge_poly1_C0.03,sklearn_regularized,1,1,l2,0.03,0.6445066394167402,0.7209821428571428,0.6666666666666666,0.6666666666666666
ridge_poly1_C0.1,sklearn_regularized,1,1,l2,0.1,0.6385013351163662,0.7232142857142857,0.65,0.6557377049180327
ridge_poly1_C0.3,sklearn_regularized,1,1,l2,0.3,0.637870897509723,0.7220982142857143,0.6166666666666667,0.6349206349206349
ridge_poly1_C1,sklearn_regularized,1,1,l2,1,0.638069697256293,0.7220982142857143,0.6166666666666667,0.6349206349206349
ridge_poly1_C3,sklearn_regularized,1,1,l2,3,0.6381837912660767,0.7220982142857143,0.6166666666666667,0.6349206349206349
ridge_poly1_C10,sklearn_regularized,1,1,l2,10,0.638231308884223,0.7209821428571429,0.6166666666666667,0.6349206349206349
ridge_poly1_C30,sklearn_regularized,1,1,l2,30,0.6382456475816417,0.7209821428571429,0.6166666666666667,0.6349206349206349
ridge_poly1_C100,sklearn_regularized,1,1,l2,100,0.6382507476340163,0.7209821428571429,0.6166666666666667,0.6349206349206349
ridge_poly2_C0.01,sklearn_regularized,1,2,l2,0.01,0.5970554935248337,0.8649553571428572,0.8,0.7777777777777778
ridge_poly2_C0.03,sklearn_regularized,1,2,l2,0.03,0.5415856201019138,0.8716517857142857,0.7833333333333333,0.7796610169491526
ridge_poly2_C0.1,sklearn_regularized,1,2,l2,0.1,0.49687331786526834,0.8705357142857143,0.7833333333333333,0.7796610169491526
ridge_poly2_C0.3,sklearn_regularized,1,2,l2,0.3,0.4757591481319503,0.8738839285714285,0.7833333333333333,0.7719298245614035
ridge_poly2_C1,sklearn_regularized,1,2,l2,1,0.4665004740485774,0.8738839285714286,0.7833333333333333,0.7719298245614035
ridge_poly2_C3,sklearn_regularized,1,2,l2,3,0.463580155114405,0.8705357142857142,0.8,0.7857142857142857
ridge_poly2_C10,sklearn_regularized,1,2,l2,10,0.4625392476591402,0.8705357142857142,0.8,0.7857142857142857
ridge_poly2_C30,sklearn_regularized,1,2,l2,30,0.4622392513668574,0.8705357142857142,0.8,0.7857142857142857
ridge_poly2_C100,sklearn_regularized,1,2,l2,100,0.46213398162166736,0.8705357142857142,0.8,0.7857142857142857
ridge_poly3_C0.01,sklearn_regularized,1,3,l2,0.01,0.6015840904519071,0.8359375,0.7833333333333333,0.7547169811320755
ridge_poly3_C0.03,sklearn_regularized,1,3,l2,0.03,0.5576981093031207,0.8426339285714286,0.75,0.7272727272727273
ridge_poly3_C0.1,sklearn_regularized,1,3,l2,0.1,0.5368323404034222,0.8381696428571428,0.75,0.7272727272727273
ridge_poly3_C0.3,sklearn_regularized,1,3,l2,0.3,0.55675962394047,0.8270089285714286,0.7166666666666667,0.6792452830188679
ridge_poly3_C1,sklearn_regularized,1,3,l2,1,0.61514566890383,0.7957589285714286,0.6666666666666666,0.6
ridge_poly3_C3,sklearn_regularized,1,3,l2,3,0.6693764614671519,0.765625,0.6333333333333333,0.5416666666666666
ridge_poly3_C10,sklearn_regularized,1,3,l2,10,0.703642709205821,0.7555803571428571,0.65,0.5714285714285714
ridge_poly3_C30,sklearn_regularized,1,3,l2,30,0.7167268637268568,0.7511160714285714,0.6333333333333333,0.56
ridge_poly3_C100,sklearn_regularized,1,3,l2,100,0.7215662826054685,0.7488839285714286,0.6333333333333333,0.56
ridge_poly4_C0.01,sklearn_regularized,1,4,l2,0.01,0.56883882422346,0.8604910714285714,0.7833333333333333,0.7547169811320755
ridge_poly4_C0.03,sklearn_regularized,1,4,l2,0.03,0.5307413307988748,0.8582589285714286,0.7833333333333333,0.7547169811320755
ridge_poly4_C0.1,sklearn_regularized,1,4,l2,0.1,0.5226109085854046,0.8616071428571428,0.7666666666666667,0.7307692307692307
ridge_poly4_C0.3,sklearn_regularized,1,4,l2,0.3,0.5543108300854495,0.84375,0.75,0.7058823529411765
ridge_poly4_C1,sklearn_regularized,1,4,l2,1,0.6350610742971219,0.8191964285714286,0.75,0.7058823529411765
ridge_poly4_C3,sklearn_regularized,1,4,l2,3,0.7483921922798374,0.7790178571428572,0.7333333333333333,0.6923076923076923
ridge_poly4_C10,sklearn_regularized,1,4,l2,10,0.8995172146700449,0.7421875,0.65,0.6037735849056604
ridge_poly4_C30,sklearn_regularized,1,4,l2,30,1.0181131011934996,0.7120535714285714,0.6666666666666666,0.6153846153846154
ridge_poly4_C100,sklearn_regularized,1,4,l2,100,1.089015533965979,0.7008928571428572,0.6666666666666666,0.6153846153846154
ridge_poly5_C0.01,sklearn_regularized,1,5,l2,0.01,0.5749764416459849,0.8537946428571429,0.7666666666666667,0.7307692307692307
ridge_poly5_C0.03,sklearn_regularized,1,5,l2,0.03,0.5427105743410111,0.8549107142857142,0.7666666666666667,0.7407407407407407
ridge_poly5_C0.1,sklearn_regularized,1,5,l2,0.1,0.5456578651027868,0.8515625,0.75,0.7169811320754716
