model,family,degree,penalty,C,log_loss_mean,log_loss_sd,auc_mean,auc_sd,accuracy_mean,f1_mean
glm_current_simple,statsmodels_glm,,none,,0.5415832667559666,0.05206553625234894,0.8038212100746861,0.04118702458489824,0.716,0.7029654974364524
ridge_poly2_C0.3,sklearn_regularized,2,l2,0.3,0.542082705465027,0.046898768877748076,0.8048324527252503,0.04538666798140888,0.7216666666666667,0.7050032970481404
ridge_poly2_C1,sklearn_regularized,2,l2,1,0.5445378561720413,0.054570523546925896,0.804520101700302,0.04555065637758744,0.7236666666666666,0.7077338508737221
lasso_poly2_C1,sklearn_regularized,2,l1,1,0.54495276355834,0.05292016900798942,0.8037619180041315,0.04420273614855959,0.7186666666666666,0.704943030638553
glm_best_subset,statsmodels_glm,,none,,0.5449915865931595,0.060441907421817404,0.8063468834419196,0.04532535618531351,0.7196666666666667,0.7069580755029145
lasso_poly2_C0.3,sklearn_regularized,2,l1,0.3,0.5461152713811547,0.04368007792892512,0.8001248659224536,0.04470748171209468,0.7176666666666667,0.7095223150927112
ridge_poly2_C0.1,sklearn_regularized,2,l2,0.1,0.5464282041167191,0.03624935313209973,0.805033420069919,0.04572222075370104,0.7203333333333333,0.7024852707209915
ridge_poly2_C3,sklearn_regularized,2,l2,3,0.546506336854392,0.057829279894415976,0.8042750129111711,0.04542082723954332,0.7226666666666667,0.7064448659883575
lasso_poly2_C3,sklearn_regularized,2,l1,3,0.5465085089640032,0.05732216492874739,0.8039628853488003,0.04518651702112539,0.723,0.7083520192696467
lasso_poly2_C10,sklearn_regularized,2,l1,10,0.5474084853205555,0.05906170438308209,0.8039627363737486,0.04529363153358705,0.7240000000000001,0.7086726848711176
ridge_poly2_C10,sklearn_regularized,2,l2,10,0.5474322239780713,0.05917227005530336,0.8040970373828062,0.0453781204658007,0.7240000000000001,0.7084902960107626
lasso_poly2_C30,sklearn_regularized,2,l1,30,0.5477015189411717,0.05953670037590945,0.803963406761481,0.04545883670156448,0.7240000000000001,0.7084902960107626
ridge_poly2_C30,sklearn_regularized,2,l2,30,0.5477270105769595,0.059578524112368754,0.8039411598204355,0.045429199460144336,0.7243333333333334,0.7088772007726675
lasso_poly2_C100,sklearn_regularized,2,l1,100,0.5478110961271304,0.05970625886722594,0.8038964424757666,0.04554201325601776,0.7243333333333334,0.7088772007726675
ridge_poly2_C100,sklearn_regularized,2,l2,100,0.547833817072886,0.05972378867692102,0.803874270022247,0.045397785821889594,0.7243333333333334,0.7088772007726675
glm_full_degree2,statsmodels_glm,,none,,0.5478613221210321,0.05978208723381728,0.8039411598204355,0.04544186611238283,0.7243333333333334,0.7088772007726675
lasso_poly3_C0.3,sklearn_regularized,3,l1,0.3,0.5496964175513395,0.046021537196867995,0.7992815678134435,0.04502415578405478,0.7183333333333333,0.7081379527259731
ridge_poly4_C0.1,sklearn_regularized,4,l2,0.1,0.552033518882834,0.04677667921066489,0.8005577625933578,0.04551573483634265,0.7186666666666666,0.6956103056377269
lasso_poly4_C0.3,sklearn_regularized,4,l1,0.3,0.5521393649706834,0.045063318132053644,0.7969401269267441,0.0440346956546067,0.7156666666666667,0.7029161037632999
lasso_poly5_C0.3,sklearn_regularized,5,l1,0.3,0.5523930634100017,0.044915008657614955,0.7964943687430478,0.04400110356851714,0.715,0.7025473451982343
lasso_poly6_C0.3,sklearn_regularized,6,l1,0.3,0.5526335457330613,0.04523280751827244,0.796360514659145,0.04436148669013678,0.7143333333333334,0.702631597641668
ridge_poly5_C0.1,sklearn_regularized,5,l2,0.1,0.555528647228453,0.05089760433664888,0.8004448891625615,0.04681065248673351,0.7186666666666666,0.6954629907633547
ridge_poly3_C0.1,sklearn_regularized,3,l2,0.1,0.555534524268342,0.044008756138206345,0.8004851372556808,0.04564507182126001,0.7240000000000001,0.7065698640821266
lasso_poly2_C0.1,sklearn_regularized,2,l1,0.1,0.5579299275999551,0.031384127516644815,0.7981861790878755,0.04672215251075507,0.7203333333333333,0.7134788968921167
ridge_poly4_C0.03,sklearn_regularized,4,l2,0.03,0.5581605836215513,0.02919871414927311,0.8058360976481805,0.04443794465231975,0.7216666666666667,0.6937669182689419
