Repeated-CV logistic GLM term selection
======================================

All models keep x1, x2, x3. Tested every subset of:
x1_sq, x2_sq, x3_sq, x1_x2, x1_x3, x2_x3

Repeated CV: 5 folds x 5 repeats = 25 validation folds.

Top 20 models:
                   optional_terms  n_optional_terms  log_loss_mean  log_loss_sd  auc_mean  accuracy_mean  f1_mean
                     x1_sq, x2_x3                 2         0.5399       0.0576    0.8023         0.7167   0.7044
              x1_sq, x3_sq, x2_x3                 3         0.5406       0.0640    0.8059         0.7240   0.7140
              x1_sq, x1_x2, x2_x3                 3         0.5410       0.0559    0.8023         0.7233   0.7090
       x1_sq, x3_sq, x1_x2, x2_x3                 4         0.5421       0.0621    0.8045         0.7260   0.7144
       x1_sq, x1_x2, x1_x3, x2_x3                 4         0.5425       0.0585    0.8041         0.7220   0.7066
              x1_sq, x1_x3, x2_x3                 3         0.5426       0.0612    0.8023         0.7147   0.7020
              x1_sq, x2_sq, x2_x3                 3         0.5430       0.0589    0.7983         0.7100   0.6969
x1_sq, x3_sq, x1_x2, x1_x3, x2_x3                 5         0.5430       0.0644    0.8072         0.7280   0.7134
       x1_sq, x3_sq, x1_x3, x2_x3                 4         0.5431       0.0669    0.8056         0.7200   0.7081
       x1_sq, x2_sq, x1_x2, x2_x3                 4         0.5440       0.0576    0.7994         0.7153   0.7011
                            x2_x3                 1         0.5444       0.0577    0.7924         0.7053   0.6825
       x1_sq, x2_sq, x3_sq, x2_x3                 4         0.5445       0.0642    0.8006         0.7153   0.7024
                     x1_x2, x2_x3                 2         0.5455       0.0560    0.7953         0.7107   0.6871
                     x3_sq, x2_x3                 2         0.5455       0.0647    0.7954         0.7087   0.6836
       x1_sq, x2_sq, x1_x3, x2_x3                 4         0.5457       0.0623    0.7968         0.7073   0.6923
x1_sq, x2_sq, x1_x2, x1_x3, x2_x3                 5         0.5458       0.0602    0.8006         0.7140   0.6984
x1_sq, x2_sq, x3_sq, x1_x2, x2_x3                 5         0.5459       0.0628    0.8006         0.7193   0.7062
                     x1_x3, x2_x3                 2         0.5466       0.0615    0.7942         0.7120   0.6882
              x3_sq, x1_x3, x2_x3                 3         0.5467       0.0682    0.7968         0.7080   0.6830
              x1_x2, x1_x3, x2_x3                 3         0.5469       0.0593    0.7964         0.7173   0.6924

Best GLM by repeated-CV log-loss: x1_sq, x2_x3 (0.5399)
Simplest GLM within 0.003 log-loss of best: x1_sq, x2_x3 (0.5399)
