model,fold,log_loss,auc,accuracy,f1
with_intercept,1,0.47712454169577967,0.84375,0.75,0.7368421052631579
no_intercept,1,0.4756744462720836,0.8448660714285715,0.7333333333333333,0.7142857142857143
with_intercept,2,0.5202636594156075,0.8236607142857143,0.7833333333333333,0.7868852459016393
no_intercept,2,0.5176415161585219,0.8258928571428572,0.75,0.7457627118644068
with_intercept,3,0.5274134420689666,0.8102678571428572,0.7333333333333333,0.7142857142857143
no_intercept,3,0.5273155847287145,0.8102678571428572,0.7333333333333333,0.7142857142857143
with_intercept,4,0.5721034057011154,0.7853170189098999,0.6666666666666666,0.6551724137931034
no_intercept,4,0.5720014371267602,0.7797552836484983,0.6833333333333333,0.6666666666666666
with_intercept,5,0.5563739410584284,0.7975528364849833,0.7,0.6896551724137931
no_intercept,5,0.5565740323896046,0.7953281423804227,0.7,0.6896551724137931
with_intercept,6,0.5751614423540687,0.7745535714285714,0.6833333333333333,0.6885245901639344
no_intercept,6,0.5749819375803384,0.7745535714285714,0.6833333333333333,0.6885245901639344
with_intercept,7,0.5842566915908366,0.7823660714285714,0.75,0.7169811320754716
no_intercept,7,0.5816723346092767,0.7857142857142856,0.75,0.7169811320754716
with_intercept,8,0.5030752727456449,0.828125,0.6833333333333333,0.6666666666666666
no_intercept,8,0.4954528872079968,0.8348214285714286,0.6833333333333333,0.6545454545454545
with_intercept,9,0.5520652200468096,0.7686318131256952,0.6666666666666666,0.6666666666666666
no_intercept,9,0.5523485900950084,0.7675194660734149,0.6666666666666666,0.6666666666666666
with_intercept,10,0.5057413851393535,0.8375973303670745,0.75,0.7368421052631579
no_intercept,10,0.5059777697162514,0.8375973303670745,0.75,0.7368421052631579
with_intercept,11,0.5260765386794636,0.8147321428571428,0.75,0.7540983606557377
no_intercept,11,0.5195774846693395,0.8203125,0.7333333333333333,0.7333333333333333
with_intercept,12,0.558887497138609,0.7566964285714286,0.6666666666666666,0.6774193548387096
no_intercept,12,0.5586786119297182,0.7555803571428572,0.6666666666666666,0.6774193548387096
with_intercept,13,0.5171679104738829,0.8247767857142858,0.7666666666666667,0.7407407407407407
no_intercept,13,0.5174491143123343,0.8258928571428572,0.7666666666666667,0.7407407407407407
with_intercept,14,0.43537241867586923,0.9110122358175751,0.8666666666666667,0.8571428571428571
no_intercept,14,0.4355274822311579,0.9110122358175751,0.8666666666666667,0.8571428571428571
with_intercept,15,0.6762420609239818,0.6829810901001112,0.5833333333333334,0.5283018867924528
no_intercept,15,0.6760564117465723,0.6829810901001112,0.5833333333333334,0.5283018867924528
with_intercept,16,0.5057776151866372,0.828125,0.7166666666666667,0.7213114754098361
no_intercept,16,0.5048936787052981,0.8236607142857143,0.7,0.7
with_intercept,17,0.534061902868528,0.7845982142857143,0.6833333333333333,0.6666666666666666
no_intercept,17,0.533185705255389,0.7879464285714286,0.7,0.6785714285714286
with_intercept,18,0.504416596683345,0.8448660714285715,0.8,0.7857142857142857
no_intercept,18,0.5046719746825331,0.845982142857143,0.8,0.7857142857142857
