model,terms,fold,log_loss,auc,accuracy,f1
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,1,0.47712454169577967,0.84375,0.75,0.7368421052631579
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,1,0.4786018206885764,0.8515625,0.7666666666666667,0.7666666666666667
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,1,0.4816117403009371,0.8515625,0.7666666666666667,0.7407407407407407
interaction_only_no_x2_x3_mains,x1 + x2_x3,1,0.483741147798016,0.859375,0.7666666666666667,0.75
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,2,0.5202636594156075,0.8236607142857143,0.7833333333333333,0.7868852459016393
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,2,0.5075029140397387,0.8314732142857143,0.7833333333333333,0.7796610169491526
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,2,0.5221759693907762,0.8136160714285714,0.7333333333333333,0.7142857142857143
interaction_only_no_x2_x3_mains,x1 + x2_x3,2,0.5079940838830815,0.8270089285714286,0.7666666666666667,0.7586206896551724
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,3,0.5274134420689666,0.8102678571428572,0.7333333333333333,0.7142857142857143
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,3,0.5345910894492951,0.8002232142857143,0.7333333333333333,0.7142857142857143
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,3,0.5460095921245075,0.7890625,0.6833333333333333,0.6666666666666666
interaction_only_no_x2_x3_mains,x1 + x2_x3,3,0.55390260772161,0.7890625,0.6833333333333333,0.6666666666666666
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,4,0.5721034057011154,0.7853170189098999,0.6666666666666666,0.6551724137931034
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,4,0.5701404897304734,0.7853170189098999,0.6833333333333333,0.6666666666666666
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,4,0.5738739655461113,0.7652947719688543,0.6833333333333333,0.6545454545454545
interaction_only_no_x2_x3_mains,x1 + x2_x3,4,0.5731709919613597,0.764182424916574,0.7,0.6666666666666666
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,5,0.5563739410584284,0.7975528364849833,0.7,0.6896551724137931
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,5,0.5658149019642519,0.7897664071190211,0.7166666666666667,0.7017543859649122
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,5,0.563970442233961,0.7797552836484983,0.7,0.6785714285714286
interaction_only_no_x2_x3_mains,x1 + x2_x3,5,0.5722950933773092,0.7775305895439377,0.7166666666666667,0.7017543859649122
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,6,0.5751614423540687,0.7745535714285714,0.6833333333333333,0.6885245901639344
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,6,0.5650431464651529,0.7979910714285714,0.7,0.7096774193548387
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,6,0.5915064974594461,0.7645089285714285,0.6666666666666666,0.6666666666666666
interaction_only_no_x2_x3_mains,x1 + x2_x3,6,0.5797233367441009,0.7845982142857143,0.6833333333333333,0.6885245901639344
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,7,0.5842566915908366,0.7823660714285714,0.75,0.7169811320754716
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,7,0.5777397644267582,0.7779017857142857,0.7666666666666667,0.7407407407407407
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,7,0.6135142524270784,0.7488839285714286,0.7333333333333333,0.6923076923076923
interaction_only_no_x2_x3_mains,x1 + x2_x3,7,0.6057935882876054,0.7544642857142856,0.7333333333333333,0.7037037037037037
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,8,0.5030752727456449,0.828125,0.6833333333333333,0.6666666666666666
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,8,0.5090043059800738,0.8325892857142856,0.7333333333333333,0.7241379310344828
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,8,0.47918139228887513,0.8426339285714286,0.7166666666666667,0.6792452830188679
interaction_only_no_x2_x3_mains,x1 + x2_x3,8,0.48434361300763246,0.8392857142857142,0.7333333333333333,0.7037037037037037
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,9,0.5520652200468096,0.7686318131256952,0.6666666666666666,0.6666666666666666
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,9,0.5107569524161246,0.8197997775305896,0.7166666666666667,0.711864406779661
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,9,0.5601998962964009,0.7630700778642936,0.6833333333333333,0.6885245901639344
interaction_only_no_x2_x3_mains,x1 + x2_x3,9,0.5189063009413067,0.8120133481646274,0.75,0.7457627118644068
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,10,0.5057413851393535,0.8375973303670745,0.75,0.7368421052631579
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,10,0.5173041744815818,0.8298109010011124,0.7666666666666667,0.7586206896551724
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,10,0.5031823341160029,0.8353726362625139,0.7,0.6666666666666666
interaction_only_no_x2_x3_mains,x1 + x2_x3,10,0.5142714999002037,0.8264738598442714,0.7333333333333333,0.7037037037037037
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,11,0.5260765386794636,0.8147321428571428,0.75,0.7540983606557377
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,11,0.49847954890268303,0.84375,0.75,0.7540983606557377
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,11,0.5096425516213845,0.8337053571428571,0.75,0.7368421052631579
