fold,log_loss,auc,accuracy,f1,model,n_optional_terms,optional_terms
1,0.6382504160607977,0.7209821428571429,0.6166666666666667,0.6349206349206349,main_effects_only,0,none
2,0.6046488743915794,0.7444196428571428,0.6166666666666667,0.5660377358490566,main_effects_only,0,none
3,0.6308796016078569,0.703125,0.6333333333333333,0.5769230769230769,main_effects_only,0,none
4,0.6399054813261432,0.681868743047831,0.6166666666666667,0.5964912280701754,main_effects_only,0,none
5,0.6459860998488397,0.6640711902113459,0.55,0.509090909090909,main_effects_only,0,none
1,0.640778918614891,0.7142857142857143,0.5833333333333334,0.647887323943662,main + x1_sq,1,x1_sq
2,0.6036587877549493,0.7254464285714286,0.65,0.6440677966101694,main + x1_sq,1,x1_sq
3,0.6086370053232794,0.7042410714285714,0.6333333333333333,0.5925925925925926,main + x1_sq,1,x1_sq
4,0.6540006743271461,0.6462736373748609,0.6166666666666667,0.6229508196721312,main + x1_sq,1,x1_sq
5,0.6325130696487182,0.6696329254727476,0.6166666666666667,0.6101694915254238,main + x1_sq,1,x1_sq
1,0.6396405943407077,0.71875,0.6333333333333333,0.6451612903225806,main + x2_sq,1,x2_sq
2,0.6041596375740662,0.7433035714285715,0.6166666666666667,0.5660377358490566,main + x2_sq,1,x2_sq
3,0.6418062156822681,0.7008928571428572,0.6666666666666666,0.6296296296296297,main + x2_sq,1,x2_sq
4,0.6501328091007221,0.6807563959955507,0.6,0.5714285714285714,main + x2_sq,1,x2_sq
5,0.6484370439537421,0.6674082313681868,0.5666666666666667,0.5185185185185185,main + x2_sq,1,x2_sq
1,0.6327684372972077,0.7388392857142858,0.6833333333333333,0.6885245901639344,main + x3_sq,1,x3_sq
2,0.6047992615817448,0.7421875,0.65,0.6037735849056604,main + x3_sq,1,x3_sq
3,0.6271853720309151,0.7142857142857143,0.6333333333333333,0.5769230769230769,main + x3_sq,1,x3_sq
4,0.6505770369896989,0.6852057842046718,0.6333333333333333,0.6071428571428571,main + x3_sq,1,x3_sq
5,0.6431615619738912,0.6685205784204672,0.55,0.509090909090909,main + x3_sq,1,x3_sq
1,0.6560756352271101,0.7109374999999999,0.65,0.6557377049180327,main + x1_x2,1,x1_x2
2,0.6032076060907644,0.7421875,0.6333333333333333,0.5925925925925926,main + x1_x2,1,x1_x2
3,0.6296166801220962,0.6953125,0.6333333333333333,0.5769230769230769,main + x1_x2,1,x1_x2
4,0.6398392364789107,0.6863181312569522,0.6166666666666667,0.5964912280701754,main + x1_x2,1,x1_x2
5,0.646053785239566,0.6640711902113459,0.55,0.509090909090909,main + x1_x2,1,x1_x2
1,0.6384743656350698,0.7388392857142858,0.6333333333333333,0.6451612903225806,main + x1_x3,1,x1_x3
2,0.6001552797161663,0.7533482142857143,0.6166666666666667,0.5660377358490566,main + x1_x3,1,x1_x3
3,0.6416261955194501,0.7020089285714286,0.6333333333333333,0.5769230769230769,main + x1_x3,1,x1_x3
4,0.6300003744753648,0.6941045606229144,0.6,0.5714285714285714,main + x1_x3,1,x1_x3
5,0.642839529911498,0.660734149054505,0.5666666666666667,0.5185185185185185,main + x1_x3,1,x1_x3
1,0.48161174030093706,0.8515625,0.7666666666666667,0.7407407407407407,main + x2_x3,1,x2_x3
2,0.522175969390776,0.8136160714285714,0.7333333333333333,0.7142857142857143,main + x2_x3,1,x2_x3
3,0.5460095921245076,0.7890625,0.6833333333333333,0.6666666666666666,main + x2_x3,1,x2_x3
4,0.5738739655461113,0.7652947719688543,0.6833333333333333,0.6545454545454545,main + x2_x3,1,x2_x3
5,0.5639704422339611,0.7797552836484983,0.7,0.6785714285714286,main + x2_x3,1,x2_x3
1,0.6417987953006629,0.7154017857142858,0.5833333333333334,0.647887323943662,main + x1_sq + x2_sq,2,"x1_sq, x2_sq"
2,0.6028650979207223,0.7276785714285714,0.65,0.6440677966101694,main + x1_sq + x2_sq,2,"x1_sq, x2_sq"
3,0.6191199711606604,0.6975446428571428,0.6666666666666666,0.6428571428571429,main + x1_sq + x2_sq,2,"x1_sq, x2_sq"
4,0.6682638368592296,0.649610678531702,0.65,0.6557377049180327,main + x1_sq + x2_sq,2,"x1_sq, x2_sq"
5,0.6333581205246851,0.6651835372636263,0.6166666666666667,0.6101694915254238,main + x1_sq + x2_sq,2,"x1_sq, x2_sq"
1,0.635408365015703,0.7488839285714286,0.5666666666666667,0.6285714285714286,main + x1_sq + x3_sq,2,"x1_sq, x3_sq"
2,0.6027767507853883,0.7321428571428571,0.6333333333333333,0.6333333333333333,main + x1_sq + x3_sq,2,"x1_sq, x3_sq"
3,0.605034437727981,0.7098214285714286,0.6833333333333333,0.6666666666666666,main + x1_sq + x3_sq,2,"x1_sq, x3_sq"
4,0.6704944285287257,0.664071190211346,0.6333333333333333,0.65625,main + x1_sq + x3_sq,2,"x1_sq, x3_sq"
5,0.6297780615863986,0.6740823136818688,0.5833333333333334,0.576271186440678,main + x1_sq + x3_sq,2,"x1_sq, x3_sq"
1,0.65552316313062,0.6897321428571428,0.5833333333333334,0.6376811594202898,main + x1_sq + x1_x2,2,"x1_sq, x1_x2"
2,0.6021826299236265,0.7332589285714286,0.65,0.6440677966101694,main + x1_sq + x1_x2,2,"x1_sq, x1_x2"
3,0.6076562001866946,0.7020089285714286,0.65,0.6181818181818182,main + x1_sq + x1_x2,2,"x1_sq, x1_x2"
4,0.6520123091982398,0.6562847608453838,0.6333333333333333,0.6451612903225806,main + x1_sq + x1_x2,2,"x1_sq, x1_x2"
5,0.6324813951245147,0.6696329254727476,0.6166666666666667,0.6101694915254238,main + x1_sq + x1_x2,2,"x1_sq, x1_x2"
1,0.6361946081536729,0.7388392857142858,0.5833333333333334,0.647887323943662,main + x1_sq + x1_x3,2,"x1_sq, x1_x3"
2,0.5993198666204677,0.7377232142857142,0.6333333333333333,0.6206896551724138,main + x1_sq + x1_x3,2,"x1_sq, x1_x3"
3,0.6186942134549455,0.7064732142857142,0.6166666666666667,0.5818181818181818,main + x1_sq + x1_x3,2,"x1_sq, x1_x3"
4,0.6607233722553383,0.6573971078976641,0.6166666666666667,0.6229508196721312,main + x1_sq + x1_x3,2,"x1_sq, x1_x3"
