simulation,oracle_mse,active_ols_mse,ridge_oracle_mse,ridge_single_cv_mse,ridge_repeated_cv_mse,ridge_fixed_population_lambda_mse,ridge_oracle_lambda,ridge_single_cv_lambda,ridge_repeated_cv_lambda,lasso_oracle_mse,lasso_current_cv_mse,lasso_one_se_mse,lasso_strict_fold_scaled_cv_mse,lasso_strict_one_se_mse,lasso_oracle_alpha,lasso_current_alpha,lasso_one_se_alpha,lasso_strict_alpha,lasso_strict_one_se_alpha,lasso_current_nonzero,lasso_current_tp,lasso_current_fp,lasso_current_fn,lasso_one_se_nonzero,lasso_one_se_tp,lasso_one_se_fp,lasso_one_se_fn
0,8.2032784815,8.7967480854,10.9522055253,11.1997990423,11.1997990423,11.0461028021,0.0371210501,0.1262600110,0.1262600110,10.2428504477,10.2468261255,10.5362294990,10.2531596611,11.5216271087,0.1422288903,0.1326431391,0.3285671837,0.1635286616,0.5741804849,20,8,12,0,15,7,8,1
1,8.1557121546,8.8338307265,10.1014573287,11.0048925315,11.0048925315,10.3250419194,0.0302700165,0.1898807824,0.1898807824,9.4985105267,9.8309205899,11.0165525817,10.2178534565,12.5701142540,0.0777555029,0.1675191529,0.3139003073,0.2214504614,0.5115792879,20,8,12,0,13,8,5,0
2,8.2837730766,8.8735204818,10.5828527053,11.4080751034,11.4080751034,10.8522919542,0.0201278538,0.1898807824,0.1898807824,10.1420271114,10.3797141025,11.7946066104,10.2699762060,11.4803309243,0.0493111299,0.1505890656,0.4598772477,0.1309746896,0.3999777775,18,8,10,0,10,7,3,1
3,8.4054008093,8.8978097883,10.5259925399,10.5858538131,10.5564206780,10.5259925399,0.0839557862,0.1262600110,0.0684609684,9.5722324705,9.5763018617,10.2558566120,9.7636585263,10.5695517800,0.1139774843,0.1062957833,0.2633027717,0.1857549002,0.3027342036,20,8,12,0,11,8,3,0
4,8.3009715524,9.0753778497,10.4775170353,10.6787251600,10.5708838844,10.4775170353,0.0839557862,0.1548365257,0.1262600110,9.8578911685,9.9044433842,10.6898995369,9.9044433842,10.9193081540,0.1450788691,0.2205069811,0.4750678894,0.2205069811,0.5462126292,14,8,6,0,9,7,2,1
5,8.4373948697,9.2269454897,11.2876983674,11.6450634713,11.4055945264,11.3011439938,0.0684609684,0.1898807824,0.1262600110,10.4026159224,10.4053752416,10.5366202450,10.4135250799,11.0852607600,0.1645809619,0.1431441275,0.2501484281,0.1892281123,0.4371414823,19,8,11,0,16,8,8,0
6,8.4967999886,8.6423511513,10.1865488680,10.2001463677,10.3841704204,10.2344785287,0.0558258627,0.0684609684,0.1262600110,9.5523417105,9.5730756565,10.9083218692,9.6286283189,10.3401019829,0.1333098642,0.1532739489,0.5381742224,0.0877089888,0.3796712748,21,8,13,0,10,7,3,1
7,8.2289415478,8.6912361475,10.5517851535,10.5806848336,10.5806848336,10.5529999433,0.0684609684,0.1029575567,0.1029575567,9.5139902709,9.5139902709,10.3281224377,9.5344725292,11.6261448421,0.1230834637,0.1230834637,0.3269204841,0.1517430469,0.4968900671,20,8,12,0,12,8,4,0
8,8.0898241239,8.5122712091,10.3284214897,10.3284214897,10.3466480168,10.3284214897,0.0839557862,0.0839557862,0.1029575567,9.1161430052,9.2192976045,10.5684208704,9.3510034424,10.8626847296,0.1125580446,0.1595481200,0.4237738124,0.1966983796,0.4872369053,19,8,11,0,12,7,5,1
9,8.5875044355,9.4168377589,10.3954968927,10.4549743429,10.5195987818,10.4549743429,0.1262600110,0.0839557862,0.0684609684,9.4447043898,9.5186623214,9.8810243065,9.5186623214,9.6993841118,0.1949388977,0.1375255386,0.3652799029,0.1375255386,0.3177018313,20,8,12,0,11,8,3,0
10,8.4133376003,9.1906655646,9.5943559334,9.6331954071,9.7049590624,9.7049590624,0.1262600110,0.1029575567,0.0839557862,9.0811994486,9.1022799875,9.5677668688,9.1242019006,9.5677668688,0.1845880627,0.2275687913,0.3976829257,0.1396341001,0.3976829257,12,8,4,0,9,8,1,0
11,7.9615870004,8.5436805249,9.8100909723,10.1231459255,9.9873695124,9.9873695124,0.1548365257,0.0684609684,0.0839557862,8.8557205691,8.8837318176,9.8427339671,8.8697947919,9.8427339671,0.1976874804,0.1603504102,0.4259047655,0.1719384889,0.4259047655,17,8,9,0,10,8,2,0
12,8.5737584888,9.4597960299,10.1045885745,10.2316817658,10.1621348257,10.3345846473,0.0371210501,0.0684609684,0.0558258627,9.6665918987,9.7255968441,9.9425057432,9.6708522425,10.0222806189,0.1197503758,0.0844815228,0.2243903406,0.1376838323,0.2406064071,22,7,15,1,19,7,12,1
13,8.3281170045,8.5623770784,10.0189956212,10.0934947953,10.0369627800,10.0369627800,0.0684609684,0.1029575567,0.0839557862,9.2231266489,9.3388601816,10.5011682989,9.3388601816,10.1004330899,0.1329695841,0.2021019446,0.4060698969,0.2021019446,0.3531788879,14,8,6,0,11,8,3,0
14,8.3641114053,8.9387967436,10.1640977048,10.1738110773,10.1738110773,10.1738110773,0.0684609684,0.0839557862,0.0839557862,9.5380256662,9.5775454964,9.9367816141,9.6138001201,9.5527175144,0.1700945758,0.1199983606,0.3187261796,0.1043684545,0.1955674284,20,8,12,0,17,8,9,0
15,8.3493882890,8.7170246221,10.0541963590,10.0573330270,10.0911048839,10.0911048839,0.1262600110,0.1029575567,0.0839557862,9.2333798416,9.3461509672,9.9319901080,9.3237409371,9.8107916567,0.1160326038,0.2027702705,0.4368553049,0.1891042329,0.4074127195,13,7,6,1,11,7,4,1
16,8.0509869904,9.1368704502,11.0926246814,11.1141517641,11.1141517641,11.0973916978,0.1029575567,0.1262600110,0.1262600110,9.7149926658,9.7203348622,11.1498147650,9.7316243663,10.5519772989,0.1326040608,0.1524624465,0.4655982822,0.1634804840,0.3776611214,19,8,11,0,15,8,7,0
17,8.2927832923,9.0174139596,10.1015560298,10.1015560298,10.1354305733,10.2013070881,0.1262600110,0.1262600110,0.1029575567,8.9070091028,8.9070091028,9.6974652034,8.9165539513,9.6974652034,0.1946812788,0.1946812788,0.3647971721,0.1693238480,0.3647971721,14,8,6,0,12,8,4,0
18,8.2224170303,8.5412452266,10.2766069234,10.2766069234,10.2766069234,10.2851584989,0.1029575567,0.1029575567,0.1029575567,9.1024204799,9.1357629313,9.4932066620,9.2268006236,10.2093766090,0.1576076320,0.1943060552,0.3166704557,0.2395495867,0.4488721891,16,8,8,0,11,8,3,0
19,8.1217819425,8.5518076564,10.2281001092,10.2549790136,10.2549790136,10.3093262434,0.1262600110,0.1029575567,0.1029575567,9.2311794847,9.2483216760,10.1333317817,9.2578463902,10.1333317817,0.1528659957,0.1425633392,0.3786607435,0.1884603444,0.3786607435,23,8,15,0,11,8,3,0
20,8.2661955059,8.7589231152,9.8990009373,9.9139631013,9.9139631013,9.9139631013,0.0684609684,0.0839557862,0.0839557862,9.1348186049,9.1394164135,10.5443944068,9.1993009593,10.3296502488,0.1247861428,0.1338040907,0.4086183594,0.1649599369,0.3810788495,22,8,14,0,8,8,0,0
21,8.4518441703,8.7463981413,11.3411443963,11.3411443963,11.4072273756,11.3411443963,0.0839557862,0.0839557862,0.1262600110,10.0066497309,10.1743337466,10.0830397391,10.0128564271,10.7546575425,0.1597025431,0.0979919996,0.2263742286,0.1489391262,0.3440686990,24,8,16,0,18,8,10,0
22,8.1336406050,8.5844341661,9.3499684056,9.3499684056,9.4131804151,9.3697333805,0.1029575567,0.1029575567,0.0684609684,8.7710353641,8.7764072980,9.0168192877,8.8042508938,8.8969412697,0.1561990976,0.1456718012,0.3138403818,0.1181588891,0.2729623591,16,8,8,0,12,8,4,0
23,8.2399131152,8.7620190097,9.5451049852,9.5451049852,9.5857858538,9.5451049852,0.0839557862,0.0839557862,0.1029575567,8.7859505536,8.8368599977,10.7463259843,8.8368599977,10.1534574514,0.1225424960,0.1619939679,0.4302701992,0.1619939679,0.3742270766,16,8,8,0,9,8,1,0
