task,metric,augmentation_ratio,n_internal_knots,mean_score,sd_score,median_score,n_real_validation_folds
classification,brier,1,0,0.14058854504243368,0.02790440534331138,0.1376918269280915,50
classification,brier,0,0,0.14087511960388766,0.026795957599340576,0.13743433369626284,50
classification,brier,1,1,0.1408866713305595,0.0279897722198355,0.13705087957513867,50
classification,brier,1,2,0.14111200445050479,0.028353448016957276,0.13729715172492754,50
classification,brier,3,0,0.14122621315135792,0.027314581405552537,0.1374495675508166,50
classification,brier,3,4,0.14128330874896863,0.027302773911539447,0.13756314537618336,50
classification,brier,3,2,0.1413059620163769,0.02776068590945552,0.13735932097831793,50
classification,brier,3,3,0.1413661169902391,0.027419354342955803,0.1368307412134579,50
classification,brier,3,1,0.14144042903542942,0.0275324398874502,0.13687501986988163,50
classification,brier,3,5,0.14152589640802243,0.02722304624136733,0.13861027236717793,50
classification,brier,3,6,0.14167392430543363,0.027801485226283274,0.13811170052038688,50
classification,brier,1,3,0.14178790733469204,0.028269780869598773,0.1376208654150224,50
classification,brier,0,1,0.14185639788016105,0.02700864213605827,0.1394132790339093,50
classification,brier,1,4,0.14202752402326557,0.028005249775224682,0.1386109394538604,50
classification,brier,1,5,0.14245356234295412,0.027964713780700583,0.13845026277947176,50
classification,brier,0,2,0.14359772398362297,0.028416218022157953,0.1403581695139799,50
classification,brier,1,6,0.1436299086294455,0.028851040697577292,0.1394970891116823,50
classification,brier,0,3,0.14530124595682073,0.028669501469632135,0.14155346203810976,50
classification,brier,0,4,0.14591906889166886,0.027539816193764874,0.1445328099052934,50
classification,brier,0,5,0.14665869448156083,0.027666265347594792,0.14422193604119393,50
classification,brier,0,6,0.14944146126968885,0.028103991300865713,0.15041226383240863,50
classification,log_loss,0,0,0.4483687188236825,0.07741434511150146,0.4396731818111317,50
classification,log_loss,1,0,0.44846479113448656,0.08280841707143143,0.44906342920884657,50
classification,log_loss,1,2,0.4495460755769355,0.08524583486432447,0.45506903050254166,50
classification,log_loss,3,0,0.4507584385456007,0.0813717968351309,0.4479720755718122,50
classification,log_loss,3,2,0.45100528382735944,0.08291427367989186,0.4404330994601914,50
classification,log_loss,1,1,0.45158836637814914,0.0858634876650703,0.44653472934422256,50
classification,log_loss,3,3,0.4520964492502189,0.08317471675578017,0.4497510282842806,50
classification,log_loss,3,1,0.4523761833002037,0.08354945154465616,0.44400971027418046,50
classification,log_loss,3,4,0.45311218247170126,0.08361954974133778,0.4511022774314151,50
classification,log_loss,1,3,0.4534569231051196,0.08655783158282865,0.45452948032231805,50
classification,log_loss,0,1,0.45475049093350944,0.0806954797451576,0.45003896070689037,50
classification,log_loss,1,4,0.4555751016168542,0.08721696745189207,0.4559578972954307,50
classification,log_loss,0,2,0.4568286753521413,0.08464687048404312,0.454800087927244,50
classification,log_loss,3,5,0.45750106732838103,0.08727167284930389,0.4525480066368051,50
classification,log_loss,3,6,0.45982896877856055,0.09556287024983677,0.4502188453881795,50
classification,log_loss,1,5,0.46312979004064503,0.09285350634461186,0.4573829566061494,50
classification,log_loss,0,3,0.4675064058131974,0.08942526561947563,0.46400666920140865,50
classification,log_loss,1,6,0.47078611908301954,0.10375646220793346,0.45941740441659806,50
classification,log_loss,0,4,0.4718485273778426,0.08784194151111176,0.46607079130391027,50
classification,log_loss,0,5,0.49107979502647203,0.09970027776893436,0.4823809265021721,50
classification,log_loss,0,6,0.5036644689581585,0.11096310387150135,0.48760097630204113,50
regression,mse,0,1,20.169944825387248,4.342020459503505,19.841986929744664,50
regression,mse,0,2,20.189799542798415,4.329615373152908,19.740999097874173,50
regression,mse,0,3,20.29932354087918,4.278023634498347,19.64914688907686,50
regression,mse,3,1,20.39995081984815,4.3775947351939895,19.97096587231986,50
regression,mse,0,4,20.420445791802862,4.259000976158652,19.681661045478595,50
regression,mse,3,3,20.446461351069342,4.407901748238934,19.5243579970846,50
regression,mse,1,3,20.44693388646631,4.40845626643622,19.842563259335034,50
regression,mse,1,1,20.447953348334657,4.404868122065055,20.30003710837233,50
regression,mse,3,2,20.463933357381293,4.384409151873721,19.547758704918536,50
regression,mse,1,2,20.466215536681226,4.415332750652725,19.92690587723329,50
regression,mse,1,4,20.48369250944282,4.4006887270074655,19.786143961181736,50
regression,mse,3,4,20.491334144692146,4.401971382414387,19.54184903941342,50
regression,mse,3,5,20.50332852719467,4.41799114613361,19.622977623285657,50
regression,mse,3,6,20.516930509017016,4.423217831559139,19.542963451581567,50
regression,mse,1,5,20.561152593359324,4.375795820109412,20.19257155592077,50
regression,mse,1,6,20.64024236700103,4.434755660083598,20.16595632804817,50
regression,mse,0,5,20.72549393587759,4.263394329097324,20.1966450542687,50
regression,mse,0,6,20.865665228754825,4.442868218377816,20.270092247156384,50
regression,mse,0,0,21.95204089304996,5.090216844988393,21.283990499294504,50
regression,mse,3,0,22.199087940773325,5.193855063067841,21.470404101212615,50
regression,mse,1,0,22.303614682084657,5.197698733247104,21.870636542556092,50
