source_row_index,fold,seed
0,4,9618
1,2,9618
2,4,9618
3,5,9618
4,5,9618
5,5,9618
6,5,9618
7,5,9618
8,5,9618
9,1,9618
10,5,9618
11,1,9618
12,1,9618
13,4,9618
14,5,9618
15,3,9618
16,1,9618
17,2,9618
18,1,9618
19,4,9618
20,3,9618
21,4,9618
22,5,9618
23,5,9618
24,4,9618
25,3,9618
26,3,9618
27,5,9618
28,1,9618
29,5,9618
30,3,9618
31,4,9618
32,3,9618
33,3,9618
34,2,9618
35,1,9618
36,5,9618
37,2,9618
38,5,9618
39,4,9618
40,4,9618
41,3,9618
42,2,9618
43,5,9618
44,2,9618
45,2,9618
46,4,9618
47,5,9618
48,1,9618
49,3,9618
50,5,9618
51,4,9618
52,5,9618
53,1,9618
54,5,9618
55,1,9618
56,5,9618
57,3,9618
58,2,9618
59,1,9618
60,4,9618
61,5,9618
62,3,9618
63,1,9618
64,5,9618
65,2,9618
66,5,9618
67,3,9618
68,1,9618
69,3,9618
70,4,9618
71,2,9618
72,3,9618
73,1,9618
74,4,9618
75,1,9618
76,5,9618
77,3,9618
78,4,9618
79,3,9618
80,3,9618
81,1,9618
82,5,9618
83,1,9618
84,2,9618
85,2,9618
86,5,9618
87,1,9618
88,4,9618
89,2,9618
90,4,9618
91,4,9618
92,5,9618
93,2,9618
94,2,9618
95,5,9618
96,4,9618
97,4,9618
98,1,9618
99,2,9618
100,5,9618
101,1,9618
102,1,9618
103,2,9618
104,5,9618
105,4,9618
106,1,9618
107,2,9618
108,2,9618
109,4,9618
110,3,9618
111,5,9618
112,3,9618
113,3,9618
114,2,9618
115,1,9618
116,2,9618
117,1,9618
118,1,9618
119,1,9618
120,1,9618
121,5,9618
122,4,9618
123,5,9618
124,1,9618
125,2,9618
126,2,9618
127,3,9618
128,5,9618
129,4,9618
130,3,9618
131,1,9618
132,4,9618
133,2,9618
134,1,9618
135,3,9618
136,2,9618
137,3,9618
138,1,9618
139,4,9618
140,3,9618
141,1,9618
142,4,9618
143,4,9618
144,2,9618
145,2,9618
146,3,9618
147,1,9618
148,3,9618
149,3,9618
150,5,9618
151,3,9618
152,3,9618
153,3,9618
154,5,9618
155,2,9618
156,3,9618
157,1,9618
158,4,9618
159,5,9618
160,2,9618
161,3,9618
162,1,9618
163,2,9618
164,5,9618
165,1,9618
166,3,9618
167,1,9618
168,1,9618
169,3,9618
170,3,9618
171,5,9618
172,5,9618
173,2,9618
174,2,9618
175,5,9618
176,3,9618
177,3,9618
178,4,9618
179,3,9618
180,5,9618
181,4,9618
182,2,9618
183,4,9618
184,5,9618
185,4,9618
186,4,9618
187,3,9618
188,4,9618
189,4,9618
190,3,9618
191,4,9618
192,2,9618
193,5,9618
194,3,9618
195,3,9618
196,1,9618
197,5,9618
198,4,9618
199,5,9618
200,5,9618
201,1,9618
202,1,9618
203,2,9618
204,2,9618
205,1,9618
206,1,9618
207,2,9618
208,4,9618
209,2,9618
210,2,9618
211,3,9618
212,4,9618
213,2,9618
214,1,9618
215,5,9618
216,2,9618
217,5,9618
218,5,9618
219,3,9618
220,4,9618
221,1,9618
222,1,9618
223,2,9618
224,3,9618
225,2,9618
226,4,9618
227,2,9618
228,3,9618
229,3,9618
230,5,9618
231,4,9618
232,4,9618
233,1,9618
234,5,9618
235,5,9618
236,4,9618
237,5,9618
238,4,9618
239,2,9618
240,4,9618
241,3,9618
242,1,9618
243,2,9618
244,3,9618
245,1,9618
246,3,9618
247,4,9618
248,4,9618
249,4,9618
250,4,9618
251,1,9618
252,2,9618
253,2,9618
254,5,9618
255,3,9618
256,1,9618
257,1,9618
258,3,9618
259,5,9618
260,3,9618
261,5,9618
262,4,9618
263,4,9618
264,2,9618
265,2,9618
266,1,9618
267,4,9618
268,2,9618
269,1,9618
270,2,9618
271,3,9618
272,2,9618
273,5,9618
274,3,9618
275,1,9618
276,1,9618
277,4,9618
278,1,9618
279,2,9618
280,2,9618
281,3,9618
282,1,9618
283,3,9618
284,2,9618
285,5,9618
286,2,9618
287,3,9618
288,5,9618
289,4,9618
290,4,9618
291,4,9618
292,1,9618
293,2,9618
294,3,9618
295,4,9618
296,2,9618
297,1,9618
298,2,9618
299,4,9618
