seed,max_depth,fold_1_mse,fold_2_mse,fold_3_mse,fold_4_mse,fold_5_mse,mean_cv_mse,sd_cv_mse,oof_rmse,selected
0,2,2759.3300286015533,3729.6263367153,4638.372013232735,3850.8996614177972,4696.944116148972,3935.0344312232714,791.6347183793494,62.729852791340676,False
0,3,2400.2528582305144,3180.442597648054,3882.2742316659496,3150.539765691442,3281.9377895745306,3179.0894485620984,527.3637194293924,56.383414658586425,False
0,4,2097.1838259070746,2675.044706702264,3843.795738849253,2406.2147846172456,3230.644744147752,2850.5767600447175,694.0471152167227,53.390792839634045,False
0,5,2100.221541399339,2598.4677094374474,3631.8191799152423,2750.4260666738483,2805.346693378625,2777.2562381609,552.7495074213804,52.699679677972426,True
0,6,2276.5927949783463,2832.1898668971803,3442.4104218885614,2799.780971337775,2791.7043985958276,2828.535690739538,413.42468379886805,53.183979643681596,False
0,7,2306.2771111691295,2876.9022423842716,3381.314294961556,2777.548885403306,2709.6842360946634,2810.3453540025853,385.9172234350018,53.01269049956421,False
0,8,2379.6177741845877,2933.4731481115077,3347.6681617285476,2713.5751384530945,2719.1261838081623,2818.69208125718,355.92821388225576,53.09135599376964,False
0,9,2379.6177741845877,2933.4731481115077,3356.376989906325,2713.5751384530945,2719.1261838081623,2820.4338468927353,359.17049304271706,53.10775693712487,False
0,10,2379.6177741845877,2933.4731481115077,3356.376989906325,2713.5751384530945,2719.1261838081623,2820.4338468927353,359.17049304271706,53.10775693712487,False
42,2,6516.082894045089,3402.1999691163514,4804.280826862919,2933.99904090651,3504.8644602532745,4232.285438236829,1453.155211816192,65.05601769426737,False
42,3,5382.306831697227,2994.2689285760694,3134.7693211029223,2331.975786526581,3508.521466226827,3470.368466825925,1150.2390418866082,58.909833362741104,False
42,4,4094.278133960185,2923.3523277514546,2792.9824262026013,2448.653355767264,2354.7958877316423,2922.81242628263,695.819236026551,54.0630412230262,False
42,5,3962.0682895965833,2846.2427842369357,2643.96836157142,2229.9843769817226,2231.9223096272285,2782.837224402778,711.1687994814934,52.75260395850406,True
42,6,3964.856656692701,2993.73565941199,2721.1342815943235,2257.371481455519,2102.846950432567,2807.9890059174204,738.3754635160126,52.99046146163874,False
42,7,4015.710799183223,3156.7196356030718,2892.510523000753,2404.5329556531715,2220.839501555705,2938.0626829991847,708.9207266118275,54.203899149407924,False
42,8,4240.977521450888,3156.7196356030718,2884.4345464997846,2326.4516220744867,2220.839501555705,2965.8845654367874,811.3077117126288,54.45993541528293,False
42,9,4295.094138613889,3156.7196356030718,2884.4345464997846,2326.4516220744867,2220.839501555705,2976.7078888693877,832.6510574117724,54.55921451844214,False
42,10,4295.094138613889,3156.7196356030718,2884.4345464997846,2326.4516220744867,2220.839501555705,2976.7078888693877,832.6510574117724,54.55921451844214,False
2026,2,3785.178861490373,3501.893779520729,5569.415581908774,3648.125370995209,3457.9430367070686,3992.5113261244305,890.8821894586163,63.18632230257139,False
2026,3,3053.3498177202723,2572.406891337731,4439.548973282159,3139.312087552831,3086.945691085408,3258.31269219568,698.4489051272313,57.081631828423404,False
2026,4,3342.724758032578,2121.728188764564,3480.606978995257,2934.0689968163792,2433.6301988188748,2862.551824285531,581.0478350086114,53.502820713356144,False
2026,5,3259.1207013978956,1852.021477489966,3587.325375186259,2623.948055207171,2431.8242033074007,2750.8479625177383,686.2587767374755,52.448526790728245,False
2026,6,3237.917742292647,1875.9152574932084,3281.108971347535,2761.9095342655914,2461.126845605192,2723.595670200835,584.0094590305598,52.188079771158804,True
2026,7,3354.522320222526,2041.8832689215717,3194.925499020657,2918.1077704539657,2624.1723533410186,2826.7222423919475,519.4941161653572,53.16692808872775,False
2026,8,3338.1871082486277,2041.7973945631204,3168.238837483398,2883.413020962574,2638.7026779666817,2814.0678078448805,507.96196655872706,53.04778796373022,False
2026,9,3338.1871082486277,2041.7973945631204,3149.9493416836112,2883.413020962574,2638.7026779666817,2810.409908684923,504.8301257076895,53.0132993567173,False
2026,10,3338.1871082486277,2041.7973945631204,3133.519313032134,2883.413020962574,2638.7026779666817,2807.1239029546277,502.113656141816,52.982298015041096,False
9618,2,4088.00287754131,3397.230260644897,4215.660779314274,3391.0223128372395,4502.503278479335,3918.8839017634114,502.00839092866636,62.600989622875865,False
9618,3,2804.138739910295,2638.55889951288,2901.7922827615193,2795.8688515902413,3254.20707228084,2878.913169211155,230.01451934970976,53.655504556486605,False
9618,4,2490.499730248963,2567.66905695606,2942.5751621440113,1794.6302603081067,2793.8866206420134,2517.852166059831,442.39813710099304,50.178204093608514,False
9618,5,2429.7445909965622,2042.1225053089775,2672.2959487385406,1958.3888035679759,2723.7179366741248,2365.253957057236,352.4497976439595,48.63387664023131,False
9618,6,2402.519816101509,2091.966285517077,2516.605716148972,1895.0063326310674,2596.6403296063736,2300.5476960009996,296.9512717714923,47.96402501876797,True
9618,7,2367.7575078873856,2078.882061097015,2446.9944129807827,1811.0879272571983,2909.843346387781,2322.913051122033,413.34321776094356,48.196608294796356,False
9618,8,2427.700149429513,1970.5522673064952,2502.0335247955927,1781.2825598755385,2998.718181496354,2336.0573365806986,478.6530330309524,48.33277704188638,False
9618,9,2425.0797329133025,1970.5522673064952,2502.0335247955927,1789.0506013795384,2998.718181496354,2337.0868615782565,476.28707254644365,48.34342624988693,False
9618,10,2425.0797329133025,1970.5522673064952,2502.0335247955927,1789.0506013795384,2998.718181496354,2337.0868615782565,476.28707254644365,48.34342624988693,False
19618,2,4541.638261460127,3686.8455593991175,3066.921812757388,4183.245314195839,3624.2524628387637,3820.5806821302467,564.7745594896224,61.81084599105765,False
