dataset,feature,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percent
train,GrLivArea,1144.0,1825.0,681.0,122.5,2846.5,6,2.0
train,LotArea,7674.75,11066.25,3391.5,2587.5,16153.5,28,9.333333333333334
train,OverallQual,5.0,7.0,2.0,2.0,10.0,4,1.3333333333333335
train,OverallCond,5.0,6.0,1.0,3.5,7.5,23,7.666666666666666
train,YearBuilt,1954.75,2000.0,45.25,1886.875,2067.875,2,0.6666666666666667
train,YearRemodAdd,1964.75,2003.0,38.25,1907.375,2060.375,0,0.0
train,TotalBsmtSF,816.0,1325.0,509.0,52.5,2088.5,15,5.0
train,GarageArea,336.0,577.25,241.25,-25.875,939.125,2,0.6666666666666667
train,BedroomAbvGr,2.0,3.0,1.0,0.5,4.5,12,4.0
train,Fireplaces,0.0,1.0,1.0,-1.5,2.5,1,0.33333333333333337
train,WoodDeckSF,0.0,161.25,161.25,-241.875,403.125,8,2.666666666666667
train,OpenPorchSF,0.0,64.25,64.25,-96.375,160.625,18,6.0
train,sale_price_keur,279.58425,435.57175,155.9875,45.60299999999998,669.553,3,1.0
