source_row_index,GrLivArea,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,years_since_remodel_2011,TotalBsmtSF,GarageArea,BedroomAbvGr,Fireplaces,WoodDeckSF,OpenPorchSF,sale_price_keur,distressed
0,2262.0,12244.0,8,5,2003,2003,8,1482.0,749.0,4,2,168.0,0.0,494.666,0
1,1350.0,9020.0,6,5,1964,1964,47,1248.0,520.0,3,0,176.0,0.0,383.079,0
2,1005.0,10434.0,4,5,1955,1955,56,1005.0,672.0,2,1,0.0,0.0,244.384,0
3,1405.0,3136.0,7,5,2003,2003,8,1405.0,478.0,2,1,148.0,36.0,351.575,1
4,2078.0,10800.0,8,5,2007,2008,3,1034.0,836.0,3,1,0.0,102.0,540.085,0
5,1774.0,6120.0,7,5,1931,1950,61,952.0,468.0,2,2,90.0,0.0,359.251,0
6,1920.0,11345.0,5,5,1948,1950,61,928.0,400.0,4,0,0.0,0.0,331.553,0
7,1048.0,7200.0,5,5,1950,1950,61,0.0,420.0,3,0,0.0,27.0,237.352,0
8,1718.0,10637.0,8,5,2007,2008,3,1705.0,826.0,3,1,208.0,44.0,522.37,0
9,2192.0,8400.0,5,8,1939,1997,14,720.0,240.0,4,1,262.0,24.0,314.569,0
10,1250.0,5362.0,5,6,1910,2003,8,661.0,552.0,3,1,242.0,0.0,236.674,0
11,1535.0,7018.0,5,5,1979,1979,32,0.0,410.0,4,0,0.0,0.0,295.011,0
12,1720.0,11645.0,7,5,2004,2004,7,860.0,565.0,3,0,0.0,70.0,452.888,0
13,2069.0,27650.0,7,7,1960,2007,4,585.0,505.0,4,1,0.0,0.0,333.614,0
14,1114.0,13695.0,5,5,2004,2004,7,1114.0,576.0,3,0,0.0,102.0,362.784,0
15,2285.0,11000.0,8,5,2000,2000,11,969.0,648.0,4,1,0.0,56.0,472.547,0
16,990.0,8070.0,4,5,1994,1995,16,990.0,0.0,3,0,0.0,0.0,231.791,1
17,1574.0,18800.0,6,5,1976,1976,35,796.0,566.0,3,1,306.0,111.0,331.027,0
18,1475.0,2665.0,5,6,1977,1977,34,757.0,336.0,4,1,104.0,26.0,319.064,0
19,1196.0,4800.0,4,7,1916,1990,21,1196.0,440.0,2,0,0.0,0.0,251.522,0
20,1576.0,8125.0,7,5,2006,2006,5,770.0,614.0,3,0,0.0,50.0,369.841,0
21,1324.0,8658.0,6,5,1965,1965,46,1088.0,440.0,3,1,0.0,138.0,316.871,0
22,1466.0,17755.0,5,4,1959,1959,52,1466.0,528.0,3,2,0.0,140.0,368.133,0
23,816.0,5890.0,6,8,1930,2007,4,816.0,432.0,2,0,0.0,0.0,237.449,0
24,1501.0,10335.0,7,5,1999,1999,12,1490.0,577.0,3,0,144.0,29.0,437.653,0
25,1647.0,7917.0,6,5,1999,2000,11,953.0,460.0,3,1,0.0,40.0,365.837,0
26,1032.0,10395.0,6,6,1978,1978,33,1032.0,564.0,3,1,0.0,0.0,308.859,0
27,1964.0,10480.0,7,6,1976,1976,35,803.0,483.0,4,1,0.0,69.0,368.838,0
28,2134.0,11888.0,6,6,1916,1994,17,844.0,441.0,5,0,0.0,60.0,330.975,0
29,996.0,9069.0,6,6,1992,1992,19,936.0,564.0,2,0,120.0,0.0,302.033,0
30,630.0,1890.0,4,7,1972,1972,39,630.0,0.0,1,0,88.0,0.0,192.327,0
31,1200.0,9230.0,5,8,1965,1998,13,864.0,884.0,1,0,0.0,64.0,354.543,0
32,2000.0,10386.0,8,5,2004,2005,6,2000.0,888.0,3,0,168.0,0.0,528.619,0
33,904.0,10020.0,1,1,1922,1950,61,683.0,0.0,1,0,0.0,0.0,133.048,1
34,882.0,8339.0,5,7,1959,1959,52,0.0,294.0,3,0,0.0,0.0,160.064,0
35,864.0,8172.0,5,7,1955,1990,21,864.0,572.0,2,0,0.0,0.0,240.207,0
36,882.0,7700.0,5,5,1972,1972,39,882.0,461.0,3,0,96.0,0.0,222.522,0
37,3493.0,18386.0,7,9,1880,2002,9,1470.0,870.0,3,1,302.0,0.0,493.864,0
38,1097.0,10859.0,5,5,1994,1995,16,1097.0,672.0,3,0,392.0,64.0,347.959,0
39,1196.0,9000.0,6,5,1956,1956,55,1196.0,297.0,2,1,0.0,44.0,321.065,0
40,1634.0,11428.0,8,5,2006,2006,5,1626.0,866.0,3,1,0.0,44.0,512.399,0
41,1067.0,9600.0,4,7,1950,1995,16,1067.0,436.0,2,0,290.0,0.0,292.094,1
42,1130.0,10800.0,5,6,1920,1950,61,1120.0,720.0,2,1,229.0,0.0,290.49,0
43,1125.0,8536.0,5,5,2006,2007,4,1125.0,430.0,2,0,80.0,64.0,366.327,0
44,1820.0,13700.0,7,6,1965,1988,23,864.0,492.0,4,2,60.0,84.0,383.504,0
45,845.0,7599.0,4,6,1982,2006,5,845.0,360.0,2,0,0.0,0.0,244.551,1
46,1700.0,9135.0,6,5,2003,2003,8,1682.0,544.0,3,0,192.0,23.0,452.189,0
47,2448.0,46589.0,8,7,1994,2005,6,1629.0,711.0,4,1,517.0,76.0,538.021,0
48,1928.0,7082.0,5,8,1916,1995,16,686.0,0.0,5,0,0.0,0.0,273.504,0
49,1694.0,10084.0,8,5,2004,2005,6,1686.0,636.0,3,1,255.0,57.0,481.042,0
50,2945.0,13682.0,10,5,2006,2006,5,1410.0,641.0,3,1,192.0,0.0,693.382,0
51,2113.0,10437.0,8,6,1995,1995,16,2109.0,839.0,2,1,236.0,46.0,515.846,0
52,1576.0,6240.0,5,6,1928,1950,61,1042.0,225.0,3,1,0.0,0.0,246.515,0
53,1367.0,6240.0,6,6,1931,1950,61,884.0,560.0,3,1,0.0,0.0,296.761,0
54,2127.0,13125.0,7,5,1991,1991,20,1104.0,833.0,4,1,72.0,192.0,429.049,0
55,1212.0,8471.0,6,7,1977,1995,16,506.0,492.0,3,1,292.0,12.0,283.539,0
56,1886.0,11214.0,7,5,1998,1999,12,930.0,431.0,4,1,89.0,0.0,389.856,0
57,2229.0,5520.0,6,6,1912,1950,61,755.0,0.0,5,0,0.0,198.0,300.151,0
58,1576.0,6240.0,5,6,1928,1950,61,1042.0,225.0,3,1,0.0,0.0,268.614,0
59,1750.0,9000.0,5,6,1880,1991,20,636.0,240.0,3,0,0.0,0.0,234.039,1
60,1442.0,11851.0,7,5,1990,1990,21,1424.0,500.0,3,0,0.0,34.0,427.584,0
61,1244.0,11988.0,6,6,1957,1957,54,1244.0,336.0,3,2,0.0,40.0,309.279,0
62,1479.0,13517.0,6,8,1976,2005,6,725.0,475.0,3,0,0.0,44.0,317.619,0
63,1768.0,8158.0,7,5,2003,2003,8,884.0,543.0,3,0,0.0,63.0,387.661,1
64,3627.0,35760.0,10,5,1995,1996,15,1930.0,807.0,4,1,361.0,76.0,684.476,0
65,1536.0,9135.0,7,5,2002,2003,8,1536.0,532.0,3,0,192.0,74.0,443.636,1
66,1200.0,3180.0,7,5,2005,2005,6,600.0,480.0,2,0,0.0,166.0,336.651,0
67,1828.0,11694.0,9,5,2007,2007,4,1822.0,774.0,3,1,0.0,108.0,562.014,0
68,1836.0,9100.0,7,5,2004,2005,6,1860.0,484.0,3,1,120.0,33.0,472.514,0
69,2036.0,215245.0,7,5,1965,1965,46,2136.0,513.0,3,2,0.0,0.0,481.732,0
70,1422.0,12090.0,6,6,1981,1981,30,1422.0,576.0,3,1,276.0,0.0,385.195,0
71,2082.0,11426.0,7,5,2003,2003,8,1362.0,484.0,3,0,280.0,238.0,456.1,0
72,1851.0,9760.0,6,8,1964,1993,18,822.0,440.0,3,1,239.0,42.0,354.919,0
73,1876.0,9120.0,6,6,1974,1974,37,901.0,540.0,4,1,0.0,69.0,391.098,0
74,1605.0,5790.0,3,6,1915,1950,61,840.0,379.0,3,0,0.0,0.0,227.396,1
75,2392.0,9452.0,8,5,1997,1998,13,1396.0,870.0,3,1,0.0,70.0,478.849,0
76,2514.0,11170.0,7,5,1990,1991,20,1216.0,693.0,4,0,0.0,0.0,460.586,0
77,988.0,21453.0,6,5,1969,1969,42,938.0,540.0,1,2,0.0,130.0,275.759,0
78,1212.0,10420.0,6,5,2009,2009,2,1212.0,460.0,3,0,100.0,22.0,375.612,0
79,2730.0,10380.0,7,5,1986,1987,24,1502.0,576.0,4,1,201.0,96.0,400.908,0
80,1375.0,11310.0,6,5,1954,1954,57,1367.0,451.0,2,1,0.0,30.0,316.234,0
81,2696.0,9965.0,7,5,2007,2007,4,1264.0,792.0,4,1,120.0,184.0,605.271,0
82,1208.0,11250.0,6,6,1977,1977,34,1208.0,546.0,3,1,198.0,42.0,359.388,0
83,1959.0,11070.0,7,5,1988,1989,22,1907.0,766.0,5,0,0.0,0.0,433.596,0
84,1886.0,11214.0,7,5,1998,1999,12,930.0,431.0,4,1,89.0,0.0,449.319,0
85,1458.0,17503.0,6,5,1948,1950,61,912.0,330.0,3,1,192.0,0.0,270.692,0
86,1294.0,7153.0,6,5,1991,1991,20,1278.0,496.0,3,0,112.0,51.0,352.697,0
87,1787.0,14781.0,8,5,2001,2002,9,1753.0,748.0,3,1,198.0,150.0,435.447,0
88,1391.0,4282.0,7,5,2004,2004,7,1391.0,530.0,2,0,156.0,158.0,474.13,0
89,3627.0,35760.0,10,5,1995,1996,15,1930.0,807.0,4,1,361.0,76.0,678.555,0
90,1113.0,9600.0,5,7,1950,2007,4,1113.0,264.0,3,1,0.0,80.0,288.704,0
91,1394.0,9500.0,6,5,1963,1963,48,1394.0,514.0,3,2,0.0,76.0,358.993,1
92,3086.0,18030.0,5,6,1946,1994,17,1598.0,0.0,3,1,122.0,0.0,423.841,0
93,780.0,7200.0,5,7,1972,1972,39,780.0,352.0,2,0,196.0,0.0,297.073,0
94,1128.0,8700.0,5,6,1963,1963,48,1120.0,525.0,3,0,192.0,20.0,320.296,0
95,1905.0,11670.0,9,5,2006,2006,5,1905.0,788.0,3,1,0.0,191.0,549.954,0
96,1298.0,11200.0,6,5,1985,1985,26,1298.0,403.0,3,1,165.0,26.0,279.435,0
97,1221.0,7500.0,7,5,2004,2005,6,1221.0,400.0,2,0,0.0,113.0,422.501,0
98,1056.0,6979.0,6,5,1980,1980,31,1056.0,576.0,0,0,264.0,56.0,308.471,1
