feature,standardized_coefficient,absolute_coefficient
OverallCond,-1.1630207667868724,1.1630207667868724
GrLivArea,-0.9561128424714427,0.9561128424714427
LotArea,-0.8671940311758786,0.8671940311758786
years_since_built_2011,0.8141568624342405,0.8141568624342405
TotalBsmtSF,0.7407901720442075,0.7407901720442075
years_since_remodel_2011,-0.6974817241598933,0.6974817241598933
BedroomAbvGr,-0.5067386923377647,0.5067386923377647
OverallQual,-0.3213747919893631,0.3213747919893631
Fireplaces,-0.2265074003829052,0.2265074003829052
GarageArea,-0.19332856057151165,0.19332856057151165
OpenPorchSF,0.09065026157169727,0.09065026157169727
WoodDeckSF,0.04354465758123833,0.04354465758123833
