stage,complete_id,structure_id,cv_seed,fold,n_train,n_validation,positive_train,positive_validation,log_loss,brier_score,roc_auc,mean_probability,observed_prevalence,prevalence_bias,max_depth,min_samples_leaf,max_features,criterion,max_samples,strategy,sampling_ratio,k_neighbors,calibration,calibration_folds,mdi_GrLivArea,mdi_LotArea,mdi_OverallQual,mdi_OverallCond,mdi_YearBuilt,mdi_YearRemodAdd,mdi_TotalBsmtSF,mdi_GarageArea,mdi_BedroomAbvGr,mdi_Fireplaces,mdi_WoodDeckSF,mdi_OpenPorchSF
calibration_screen,s48|none|r=None|k=None|cal=sigmoid|folds=3,48,9618,1,240,60,38,9,0.44016462665139244,0.13501365341383015,0.6296296296296295,0.11762995429718612,0.15,-0.03237004570281388,8,1,4,log_loss,0.7,none,,,sigmoid,3,0.14319403301885053,0.1350977693863447,0.10869449380035383,0.0767121351205455,0.09465651930972035,0.06203887299022968,0.1016695223252396,0.12816916299940131,0.027385805356358237,0.035575656629896646,0.03285014296213075,0.053955886100928774
calibration_screen,s48|none|r=None|k=None|cal=sigmoid|folds=3,48,9618,2,240,60,38,9,0.3714877525950426,0.11523866332283336,0.8464052287581699,0.14408413414708515,0.15,-0.005915865852914842,8,1,4,log_loss,0.7,none,,,sigmoid,3,0.14221067913274626,0.14973854454787594,0.0932037068135408,0.07573486004525104,0.07850579822783889,0.053430372070418404,0.10239251204278815,0.105541777716076,0.05262438306191665,0.027250380660050665,0.056594019730790986,0.06277296595070622
calibration_screen,s48|none|r=None|k=None|cal=sigmoid|folds=3,48,9618,3,240,60,38,9,0.2987635718738539,0.08480182896988415,0.8660130718954248,0.1706386142698889,0.15,0.020638614269888916,8,1,4,log_loss,0.7,none,,,sigmoid,3,0.13304562607945836,0.13809792281863675,0.09857421770859039,0.060179842771390706,0.08359973350240908,0.08191717124041835,0.1116291767894584,0.10474191970170622,0.04831198455399481,0.0286439983951635,0.051569821620830306,0.05968858481794316
calibration_screen,s48|none|r=None|k=None|cal=sigmoid|folds=3,48,9618,4,240,60,37,10,0.36981406671569833,0.10961392455596107,0.762,0.1594905746911776,0.16666666666666666,-0.007176091975489046,8,1,4,log_loss,0.7,none,,,sigmoid,3,0.14069275761870542,0.14174344974381203,0.09531518412460993,0.04750795546615681,0.09935051522483661,0.06461183097911473,0.10372836789505469,0.0997079124437694,0.05129851462764785,0.023494726027250733,0.06514634103942489,0.06740244480961691
calibration_screen,s48|none|r=None|k=None|cal=sigmoid|folds=3,48,9618,5,240,60,37,10,0.36779647337444266,0.11267238835576579,0.838,0.15814715778336788,0.16666666666666666,-0.008519508883298776,8,1,4,log_loss,0.7,none,,,sigmoid,3,0.1286664289793345,0.14008014819855827,0.09100356743836095,0.07173305500337174,0.09387605610424891,0.06603885492538698,0.09970743034292788,0.10686739286873953,0.04151563639619101,0.03395344867641573,0.055793647740559636,0.07076433332590489
calibration_screen,s48|none|r=None|k=None|cal=sigmoid|folds=5,48,9618,1,240,60,38,9,0.4445895753941694,0.13649595994882435,0.6296296296296295,0.11525582936450228,0.15,-0.034744170635497715,8,1,4,log_loss,0.7,none,,,sigmoid,5,0.14319403301885053,0.1350977693863447,0.10869449380035383,0.0767121351205455,0.09465651930972035,0.06203887299022968,0.1016695223252396,0.12816916299940131,0.027385805356358237,0.035575656629896646,0.03285014296213075,0.053955886100928774
calibration_screen,s48|none|r=None|k=None|cal=sigmoid|folds=5,48,9618,2,240,60,38,9,0.3701870829988924,0.11494769839726221,0.8464052287581699,0.14478450623892158,0.15,-0.00521549376107841,8,1,4,log_loss,0.7,none,,,sigmoid,5,0.14221067913274626,0.14973854454787594,0.0932037068135408,0.07573486004525104,0.07850579822783889,0.053430372070418404,0.10239251204278815,0.105541777716076,0.05262438306191665,0.027250380660050665,0.056594019730790986,0.06277296595070622
calibration_screen,s48|none|r=None|k=None|cal=sigmoid|folds=5,48,9618,3,240,60,38,9,0.2975452794769768,0.08442090493000963,0.8660130718954248,0.1718831813139511,0.15,0.021883181313951117,8,1,4,log_loss,0.7,none,,,sigmoid,5,0.13304562607945836,0.13809792281863675,0.09857421770859039,0.060179842771390706,0.08359973350240908,0.08191717124041835,0.1116291767894584,0.10474191970170622,0.04831198455399481,0.0286439983951635,0.051569821620830306,0.05968858481794316
calibration_screen,s48|none|r=None|k=None|cal=sigmoid|folds=5,48,9618,4,240,60,37,10,0.3660348489744027,0.10836121004440444,0.762,0.16373969379928063,0.16666666666666666,-0.002926972867386024,8,1,4,log_loss,0.7,none,,,sigmoid,5,0.14069275761870542,0.14174344974381203,0.09531518412460993,0.04750795546615681,0.09935051522483661,0.06461183097911473,0.10372836789505469,0.0997079124437694,0.05129851462764785,0.023494726027250733,0.06514634103942489,0.06740244480961691
calibration_screen,s48|none|r=None|k=None|cal=sigmoid|folds=5,48,9618,5,240,60,37,10,0.3601083107482971,0.11053462243357455,0.838,0.16043185173867927,0.16666666666666666,-0.006234814927987387,8,1,4,log_loss,0.7,none,,,sigmoid,5,0.1286664289793345,0.14008014819855827,0.09100356743836095,0.07173305500337174,0.09387605610424891,0.06603885492538698,0.09970743034292788,0.10686739286873953,0.04151563639619101,0.03395344867641573,0.055793647740559636,0.07076433332590489
calibration_screen,s48|none|r=None|k=None|cal=sigmoid|folds=8,48,9618,1,240,60,38,9,0.44106458343991517,0.13557054087169196,0.6296296296296295,0.11906555908369014,0.15,-0.030934440916309855,8,1,4,log_loss,0.7,none,,,sigmoid,8,0.14319403301885053,0.1350977693863447,0.10869449380035383,0.0767121351205455,0.09465651930972035,0.06203887299022968,0.1016695223252396,0.12816916299940131,0.027385805356358237,0.035575656629896646,0.03285014296213075,0.053955886100928774
calibration_screen,s48|none|r=None|k=None|cal=sigmoid|folds=8,48,9618,2,240,60,38,9,0.3670756818167986,0.1143496186665883,0.8464052287581699,0.14528644865783297,0.15,-0.004713551342167027,8,1,4,log_loss,0.7,none,,,sigmoid,8,0.14221067913274626,0.14973854454787594,0.0932037068135408,0.07573486004525104,0.07850579822783889,0.053430372070418404,0.10239251204278815,0.105541777716076,0.05262438306191665,0.027250380660050665,0.056594019730790986,0.06277296595070622
calibration_screen,s48|none|r=None|k=None|cal=sigmoid|folds=8,48,9618,3,240,60,38,9,0.3006783174944717,0.0851966639964472,0.8660130718954248,0.17302364152407554,0.15,0.023023641524075544,8,1,4,log_loss,0.7,none,,,sigmoid,8,0.13304562607945836,0.13809792281863675,0.09857421770859039,0.060179842771390706,0.08359973350240908,0.08191717124041835,0.1116291767894584,0.10474191970170622,0.04831198455399481,0.0286439983951635,0.051569821620830306,0.05968858481794316
calibration_screen,s48|none|r=None|k=None|cal=sigmoid|folds=8,48,9618,4,240,60,37,10,0.36564501551042344,0.10825818656172433,0.762,0.16406919523928548,0.16666666666666666,-0.002597471427381176,8,1,4,log_loss,0.7,none,,,sigmoid,8,0.14069275761870542,0.14174344974381203,0.09531518412460993,0.04750795546615681,0.09935051522483661,0.06461183097911473,0.10372836789505469,0.0997079124437694,0.05129851462764785,0.023494726027250733,0.06514634103942489,0.06740244480961691
calibration_screen,s48|none|r=None|k=None|cal=sigmoid|folds=8,48,9618,5,240,60,37,10,0.35796950490501356,0.11007411525765035,0.838,0.15912688347532397,0.16666666666666666,-0.007539783191342686,8,1,4,log_loss,0.7,none,,,sigmoid,8,0.1286664289793345,0.14008014819855827,0.09100356743836095,0.07173305500337174,0.09387605610424891,0.06603885492538698,0.09970743034292788,0.10686739286873953,0.04151563639619101,0.03395344867641573,0.055793647740559636,0.07076433332590489
calibration_screen,s70|random_over|r=0.2|k=None|cal=sigmoid|folds=3,70,9618,1,240,60,38,9,0.43848390629186657,0.13448807959171727,0.6209150326797386,0.12218070343100963,0.15,-0.027819296568990362,5,1,6,log_loss,1.0,random_over,0.2,,sigmoid,3,0.17924119563059274,0.14396760792514599,0.14219700458232867,0.08540924967511047,0.09003891450576605,0.03865192753187339,0.09544051931845986,0.10342404523891063,0.015645101846714374,0.03341340079797163,0.021295613503921444,0.05127541944320472
calibration_screen,s70|random_over|r=0.2|k=None|cal=sigmoid|folds=3,70,9618,2,240,60,38,9,0.38503048685628444,0.11886240494143631,0.8246187363834422,0.1370750470881906,0.15,-0.012924952911809395,5,1,6,log_loss,1.0,random_over,0.2,,sigmoid,3,0.14574360757099977,0.18673185091984376,0.1218845039589638,0.10279197352459753,0.0614196310874963,0.03168344196198263,0.08194645175548355,0.08547747198124558,0.06886165366214432,0.01333853168158695,0.043090274056278466,0.05703060783937718
calibration_screen,s70|random_over|r=0.2|k=None|cal=sigmoid|folds=3,70,9618,3,240,60,38,9,0.29866684795183723,0.08659484731337033,0.8856209150326797,0.17604803586772502,0.15,0.026048035867725028,5,1,6,log_loss,1.0,random_over,0.2,,sigmoid,3,0.14961311122909232,0.17683360898352735,0.1450176060433376,0.06053363207752253,0.060740205961562786,0.05622590039815679,0.10363778191019214,0.08534882271066666,0.04622056180488327,0.022049323798369047,0.04235979294828827,0.051419652134401084
calibration_screen,s70|random_over|r=0.2|k=None|cal=sigmoid|folds=3,70,9618,4,240,60,37,10,0.36497397934484127,0.10782338416043932,0.77,0.15031956514960798,0.16666666666666666,-0.016347101517058676,5,1,6,log_loss,1.0,random_over,0.2,,sigmoid,3,0.1486457336120828,0.16035662578739174,0.14235174322874788,0.05754611459351063,0.10575354146977291,0.04164522094474685,0.09018520781854633,0.07572387840304433,0.05365127401655573,0.013112488176737496,0.055050184667331775,0.05597798728153155
calibration_screen,s70|random_over|r=0.2|k=None|cal=sigmoid|folds=3,70,9618,5,240,60,37,10,0.3690043597778417,0.11244556730623158,0.8320000000000001,0.15922385334933595,0.16666666666666666,-0.00744281331733071,5,1,6,log_loss,1.0,random_over,0.2,,sigmoid,3,0.14403255901821618,0.16466913092694732,0.10896635150950154,0.0724279640541186,0.09809632680636604,0.04601119619838266,0.09097615658423894,0.09521117014842222,0.038540295910531076,0.03691175692761532,0.043687443908434154,0.06046964800722601
calibration_screen,s70|random_over|r=0.2|k=None|cal=sigmoid|folds=5,70,9618,1,240,60,38,9,0.452017177905945,0.1392378677614504,0.6209150326797386,0.11737187147891759,0.15,-0.032628128521082406,5,1,6,log_loss,1.0,random_over,0.2,,sigmoid,5,0.17924119563059274,0.14396760792514599,0.14219700458232867,0.08540924967511047,0.09003891450576605,0.03865192753187339,0.09544051931845986,0.10342404523891063,0.015645101846714374,0.03341340079797163,0.021295613503921444,0.05127541944320472
calibration_screen,s70|random_over|r=0.2|k=None|cal=sigmoid|folds=5,70,9618,2,240,60,38,9,0.37775661303161495,0.11746582251531677,0.8246187363834422,0.13662220155937593,0.15,-0.013377798440624061,5,1,6,log_loss,1.0,random_over,0.2,,sigmoid,5,0.14574360757099977,0.18673185091984376,0.1218845039589638,0.10279197352459753,0.0614196310874963,0.03168344196198263,0.08194645175548355,0.08547747198124558,0.06886165366214432,0.01333853168158695,0.043090274056278466,0.05703060783937718
