tree_number,tree_seed,bootstrap_size,unique_inbag_rows,duplicate_draws,oob_rows,tree_depth,node_count,leaf_count,candidate_nodes,min_candidate_features,max_candidate_features
1,2080475133,300,186,114,114,8,187,94,101,4,4
2,283081582,300,186,114,114,8,189,95,103,4,4
3,1306443883,300,192,108,108,8,215,108,114,4,4
4,1854370050,300,186,114,114,8,199,100,103,4,4
5,186984852,300,182,118,118,8,197,99,102,4,4
6,151791703,300,192,108,108,8,177,89,97,4,4
7,697267176,300,202,98,98,8,199,100,105,4,4
8,1439647190,300,189,111,111,8,189,95,96,4,4
9,1815884522,300,197,103,103,8,205,103,104,4,4
10,1153781878,300,190,110,110,8,197,99,102,4,4
11,837506410,300,179,121,121,8,171,86,88,4,4
12,756812680,300,200,100,100,8,163,82,86,4,4
13,727558754,300,194,106,106,8,161,81,82,4,4
14,1115539565,300,194,106,106,8,179,90,93,4,4
15,292879976,300,199,101,101,8,227,114,121,4,4
16,630585633,300,189,111,111,8,217,109,115,4,4
17,127484524,300,190,110,110,8,211,106,109,4,4
18,2006805756,300,201,99,99,8,219,110,116,4,4
19,1152404996,300,187,113,113,8,191,96,101,4,4
20,503452606,300,188,112,112,8,211,106,105,4,4
21,1621435905,300,199,101,101,8,211,106,112,4,4
22,1559724822,300,193,107,107,8,213,107,111,4,4
23,1015779383,300,190,110,110,8,239,120,124,4,4
24,1167360970,300,199,101,101,8,195,98,101,4,4
25,806483547,300,183,117,117,8,199,100,101,4,4
26,125105104,300,191,109,109,8,201,101,103,4,4
27,76019640,300,191,109,109,8,203,102,108,4,4
28,1224632250,300,198,102,102,8,225,113,115,4,4
29,793093665,300,190,110,110,8,187,94,101,4,4
30,490615255,300,192,108,108,8,165,83,85,4,4
31,2087048944,300,189,111,111,8,207,104,108,4,4
32,1473413871,300,193,107,107,8,231,116,119,4,4
33,1627972974,300,179,121,121,8,179,90,94,4,4
34,208073067,300,186,114,114,8,201,101,105,4,4
35,1950307629,300,190,110,110,8,173,87,91,4,4
36,965911064,300,188,112,112,8,181,91,94,4,4
37,1850671904,300,190,110,110,8,231,116,121,4,4
38,1434938421,300,183,117,117,8,191,96,100,4,4
39,970571811,300,196,104,104,8,217,109,116,4,4
40,1827263427,300,188,112,112,8,177,89,95,4,4
41,1691313528,300,199,101,101,8,195,98,103,4,4
42,1515629031,300,191,109,109,8,183,92,95,4,4
43,1713186319,300,193,107,107,8,179,90,93,4,4
44,6032718,300,190,110,110,8,191,96,101,4,4
45,1133456350,300,190,110,110,8,221,111,114,4,4
46,9418468,300,182,118,118,8,191,96,101,4,4
47,1912862340,300,195,105,105,8,189,95,97,4,4
48,964906656,300,191,109,109,8,183,92,97,4,4
49,1667546682,300,189,111,111,8,187,94,102,4,4
50,245363152,300,200,100,100,8,189,95,99,4,4
51,1388783554,300,193,107,107,8,221,111,117,4,4
52,1775049012,300,199,101,101,8,169,85,90,4,4
53,1887426341,300,192,108,108,8,211,106,111,4,4
54,2017982632,300,187,113,113,8,203,102,109,4,4
55,683124458,300,192,108,108,8,185,93,96,4,4
56,709625880,300,184,116,116,8,225,113,117,4,4
57,1448648306,300,187,113,113,8,191,96,98,4,4
58,2052573699,300,198,102,102,8,167,84,88,4,4
59,535463303,300,188,112,112,8,201,101,102,4,4
60,1740890189,300,193,107,107,8,217,109,113,4,4
61,831077197,300,195,105,105,8,205,103,107,4,4
62,286107169,300,197,103,103,8,225,113,117,4,4
63,1779321666,300,198,102,102,8,201,101,105,4,4
64,623348538,300,181,119,119,8,167,84,87,4,4
65,369036425,300,189,111,111,8,199,100,106,4,4
66,2102707654,300,189,111,111,8,215,108,111,4,4
67,1242121868,300,189,111,111,8,179,90,95,4,4
68,1339435562,300,191,109,109,8,205,103,106,4,4
69,528022848,300,188,112,112,8,193,97,101,4,4
70,531671326,300,184,116,116,8,203,102,110,4,4
71,515225672,300,181,119,119,8,219,110,115,4,4
72,968874955,300,187,113,113,8,209,105,108,4,4
73,1657667076,300,189,111,111,8,193,97,105,4,4
74,292104856,300,188,112,112,8,197,99,101,4,4
75,1475009896,300,188,112,112,8,229,115,119,4,4
76,1056249235,300,185,115,115,8,197,99,99,4,4
77,533483482,300,195,105,105,8,165,83,85,4,4
78,1737127630,300,191,109,109,8,213,107,112,4,4
79,160076263,300,190,110,110,8,207,104,110,4,4
80,120162242,300,185,115,115,8,225,113,118,4,4
81,1562577394,300,189,111,111,8,201,101,104,4,4
82,1250717983,300,188,112,112,8,181,91,97,4,4
83,473338608,300,186,114,114,8,193,97,102,4,4
84,381172556,300,190,110,110,8,223,112,117,4,4
85,1902319116,300,208,92,92,8,207,104,111,4,4
86,2047977056,300,184,116,116,8,217,109,113,4,4
87,603351228,300,198,102,102,8,185,93,94,4,4
88,889072322,300,193,107,107,8,181,91,100,4,4
89,908824264,300,192,108,108,8,217,109,116,4,4
