max_depth,min_samples_leaf,feature,top5_count,top5_frequency,mean_mdi,sd_mdi
7,5,GrLivArea,30,1.0,0.15665571014016547,0.011417194448751536
7,5,LotArea,0,0.0,0.02545598087091498,0.002806441538790454
7,5,OverallQual,30,1.0,0.28145749401385356,0.016456306344331283
7,5,OverallCond,0,0.0,0.008304097144283996,0.0012665695650795523
7,5,YearBuilt,30,1.0,0.20132690881635382,0.017661488993753215
7,5,YearRemodAdd,0,0.0,0.03720407953758516,0.0055586319680648
7,5,TotalBsmtSF,30,1.0,0.10649927673255895,0.01468810743400296
7,5,GarageArea,30,1.0,0.13730603476294725,0.013292657771779858
7,5,BedroomAbvGr,0,0.0,0.007538909665277574,0.0014874477937023873
7,5,Fireplaces,0,0.0,0.006682373916601837,0.0013125319268773136
7,5,WoodDeckSF,0,0.0,0.0068978481889776,0.001363233840787191
7,5,OpenPorchSF,0,0.0,0.024671286210479346,0.007404852487074411
8,1,GrLivArea,30,1.0,0.16067921913382327,0.010009934738760076
8,1,LotArea,0,0.0,0.032078739221480364,0.0026101732822630844
8,1,OverallQual,30,1.0,0.2730035511616497,0.016479484942553427
8,1,OverallCond,0,0.0,0.012593344915894525,0.0018389013318137225
8,1,YearBuilt,30,1.0,0.19433299494954667,0.016158029918416344
8,1,YearRemodAdd,0,0.0,0.03892324889407109,0.005756228104644078
8,1,TotalBsmtSF,30,1.0,0.10521919318379493,0.013461309887174389
8,1,GarageArea,30,1.0,0.13205708554560283,0.0120105369216485
8,1,BedroomAbvGr,0,0.0,0.009205818596028086,0.0013502253571533642
8,1,Fireplaces,0,0.0,0.007270575483637219,0.001253986618484098
8,1,WoodDeckSF,0,0.0,0.008814033731448147,0.0014293500467672166
8,1,OpenPorchSF,0,0.0,0.025822195183022693,0.0067921400867286584
8,2,GrLivArea,30,1.0,0.15965937862763704,0.010444904113164222
8,2,LotArea,0,0.0,0.030454139942301374,0.002870758606911518
8,2,OverallQual,30,1.0,0.27373783324133405,0.016014748140882662
8,2,OverallCond,0,0.0,0.01160711260435618,0.0016622909522225598
8,2,YearBuilt,30,1.0,0.19603957490198237,0.01636517703813818
8,2,YearRemodAdd,0,0.0,0.03896423621863105,0.005749690602754903
8,2,TotalBsmtSF,30,1.0,0.10525535001522343,0.013922821571267363
8,2,GarageArea,30,1.0,0.13335380076408127,0.012250758518202955
8,2,BedroomAbvGr,0,0.0,0.00894014668847353,0.0011941531731409288
8,2,Fireplaces,0,0.0,0.007354221135733978,0.001244728630513103
8,2,WoodDeckSF,0,0.0,0.008684412694734174,0.0013849211575285394
8,2,OpenPorchSF,0,0.0,0.025949793165511093,0.007227022852344883
12,2,GrLivArea,30,1.0,0.15974407988353728,0.010730385463764109
12,2,LotArea,0,0.0,0.031107743215462665,0.0027236409848424557
12,2,OverallQual,30,1.0,0.2727822433918605,0.01590654770582854
12,2,OverallCond,0,0.0,0.012072808678529385,0.0018861304232981489
12,2,YearBuilt,30,1.0,0.19461069812231846,0.01602941369791863
12,2,YearRemodAdd,0,0.0,0.03923531871244579,0.006041571375635944
12,2,TotalBsmtSF,30,1.0,0.10573022050164124,0.013440353528544217
12,2,GarageArea,30,1.0,0.1334610386568674,0.011905098166308404
12,2,BedroomAbvGr,0,0.0,0.009076354805335085,0.001260941424753209
12,2,Fireplaces,0,0.0,0.007306368362950574,0.0011974524760788908
12,2,WoodDeckSF,0,0.0,0.00892590239697752,0.0013614081190101402
12,2,OpenPorchSF,0,0.0,0.025947223272073605,0.006934213589311825
12,3,GrLivArea,30,1.0,0.1593319223447182,0.011034072341531486
12,3,LotArea,0,0.0,0.02907050106752506,0.0026911227090504045
12,3,OverallQual,30,1.0,0.2748984191310525,0.016905721410363776
12,3,OverallCond,0,0.0,0.010678230739438984,0.001734626065829409
12,3,YearBuilt,30,1.0,0.19787190235946941,0.01740989759576402
12,3,YearRemodAdd,0,0.0,0.03853393784792653,0.005445160941788154
12,3,TotalBsmtSF,30,1.0,0.10571574662606933,0.013466607549262564
12,3,GarageArea,30,1.0,0.13432069644100242,0.012609542082976866
12,3,BedroomAbvGr,0,0.0,0.008514906710195176,0.001367025975564524
12,3,Fireplaces,0,0.0,0.007085832229477917,0.0012721572618204053
12,3,WoodDeckSF,0,0.0,0.008404830912600114,0.0014332511219899786
12,3,OpenPorchSF,0,0.0,0.025573073590523854,0.006831516350671816
15,2,GrLivArea,30,1.0,0.1597622590721331,0.010685414998449121
15,2,LotArea,0,0.0,0.031174124075042258,0.002960733731679617
15,2,OverallQual,30,1.0,0.2720668732592094,0.016137351762688223
15,2,OverallCond,0,0.0,0.012115356592974896,0.001866546054975947
15,2,YearBuilt,30,1.0,0.19481370430609646,0.01605627690369357
15,2,YearRemodAdd,0,0.0,0.03928000926569474,0.005829496141013309
15,2,TotalBsmtSF,30,1.0,0.10569089808946118,0.013429714132090808
15,2,GarageArea,30,1.0,0.13375709387688073,0.011694824955159297
15,2,BedroomAbvGr,0,0.0,0.00908010143652392,0.0012571194413118678
15,2,Fireplaces,0,0.0,0.007287410191804224,0.0011746247903628314
15,2,WoodDeckSF,0,0.0,0.008945355336121784,0.001365936340688712
15,2,OpenPorchSF,0,0.0,0.02602681449805682,0.006993574330922505
15,3,GrLivArea,30,1.0,0.15940288049200707,0.01108450296624288
15,3,LotArea,0,0.0,0.029060545337291906,0.0026443533634538537
15,3,OverallQual,30,1.0,0.27479470943817924,0.016893677480639028
15,3,OverallCond,0,0.0,0.010678982232897384,0.0017185731425099066
15,3,YearBuilt,30,1.0,0.19783889733774113,0.017582276267195492
15,3,YearRemodAdd,0,0.0,0.03853864458437504,0.0055355905570906435
15,3,TotalBsmtSF,30,1.0,0.10580507913942207,0.013430583778438173
15,3,GarageArea,30,1.0,0.13430422908986983,0.012695650494832999
15,3,BedroomAbvGr,0,0.0,0.008524145274825893,0.0013469833994142755
15,3,Fireplaces,0,0.0,0.007055282311621896,0.001295860824277905
15,3,WoodDeckSF,0,0.0,0.008430363669659243,0.0014311782455562873
15,3,OpenPorchSF,0,0.0,0.025566241092108814,0.006850986470489265
