oob_rank,max_depth,min_samples_leaf,n_trees,mtry,seed,oob_mse,oob_rmse,oob_coverage,min_oob_count,mean_oob_count,max_oob_count,mean_tree_depth,mean_node_count,mean_leaf_count,mean_unique_inbag_rows,elapsed_seconds,mdi_GrLivArea,mdi_LotArea,mdi_OverallQual,mdi_OverallCond,mdi_YearBuilt,mdi_YearRemodAdd,mdi_TotalBsmtSF,mdi_GarageArea,mdi_BedroomAbvGr,mdi_Fireplaces,mdi_WoodDeckSF,mdi_OpenPorchSF,raw_sse_share_GrLivArea,raw_sse_share_LotArea,raw_sse_share_OverallQual,raw_sse_share_OverallCond,raw_sse_share_YearBuilt,raw_sse_share_YearRemodAdd,raw_sse_share_TotalBsmtSF,raw_sse_share_GarageArea,raw_sse_share_BedroomAbvGr,raw_sse_share_Fireplaces,raw_sse_share_WoodDeckSF,raw_sse_share_OpenPorchSF
1,8,1,500,4,9618,1424.5689118128669,37.743461841925246,1.0,157,183.20666666666668,220,8.0,196.212,98.606,190.076,23.598380899988115,0.16096851987707347,0.03279134139279039,0.2681980428496689,0.01244052389206227,0.21566685393159055,0.0361256903523253,0.09754155558702547,0.12494917751694744,0.009127208519781008,0.006749751955737995,0.00808081951413568,0.027360514610861485,0.1616035155206162,0.032684540461065406,0.26768087140224994,0.012535652205651594,0.21555356000268666,0.036005261966881176,0.09794611642384253,0.12530227253513726,0.00911762685253101,0.006662780995049216,0.008084079808089846,0.02682372182619911
2,12,3,500,4,9618,1431.327557721025,37.8328898938612,1.0,157,183.20666666666668,220,11.192,152.576,76.788,190.076,18.304956599953584,0.15816506795824095,0.029912719629786734,0.2667024247763158,0.008891184856781224,0.22123571785536655,0.03749552640227206,0.09465497787068032,0.1315343282117791,0.008840004752143435,0.006983048988080248,0.008456076846179692,0.02712892185237413,0.15916190158801838,0.029951747755470142,0.26609861533349605,0.008924290137797811,0.22118418022599684,0.03731384408592252,0.09495218543115407,0.13159300524693918,0.008834336652382988,0.006919057489804072,0.008519526162421279,0.02654730989059668
3,8,2,500,4,9618,1432.9563995338997,37.85441056909881,1.0,157,183.20666666666668,220,8.0,157.448,79.224,190.076,19.32474710000679,0.1604848788708445,0.030787556574081176,0.26907050851830305,0.011118708738334536,0.21473133016399015,0.03827403404442788,0.09857010520493463,0.12517633618494578,0.0095450160597503,0.006469096820197722,0.008471093241219323,0.027301335578970996,0.16147726452107158,0.030739307142613075,0.268043409174027,0.011165254288265173,0.21460864574275812,0.03836684852863108,0.09873483018491198,0.12559213687336002,0.009582055274130355,0.006470018843865928,0.008492071162634934,0.026728158263730737
4,12,2,500,4,9618,1433.343881808025,37.85952828295705,1.0,157,183.20666666666668,220,11.886,216.34,108.67,190.076,26.24628560000565,0.16062655952215632,0.03191054396500855,0.26815303612169933,0.01131897256053387,0.21302610493976082,0.03677925975015589,0.09748673333383807,0.12944554588236626,0.00885866433346628,0.006798110135728688,0.008653976828679412,0.026942492626606463,0.16129846108955004,0.031897478381231685,0.26716383281905814,0.011423603533206246,0.21285203579793738,0.03665477088146805,0.09749662973211305,0.13051591290908965,0.008852465448609865,0.006834473323756906,0.008627357851852294,0.02638297823212673
5,15,3,500,4,9618,1435.8553053243716,37.8926814216726,1.0,157,183.20666666666668,220,11.436,153.072,77.036,190.076,18.77657889999682,0.15781812224970337,0.029942743982271237,0.26830615404430297,0.009443610806477263,0.2204526533442505,0.0371766155036772,0.09453903582787998,0.13081370515071147,0.00897212482400779,0.007153015892680666,0.008344214337795964,0.02703800403624165,0.15880417552342083,0.030055601811746543,0.2676783573142471,0.009485784028890106,0.22042784342382485,0.03698973513167629,0.09478339377498854,0.13087873354355847,0.008954799456198283,0.007106877540946521,0.008386079174100752,0.026448619276401682
6,15,2,500,4,9618,1437.7652050051772,37.91787447899971,1.0,157,183.20666666666668,220,12.976,220.104,110.552,190.076,25.72579559998121,0.15943084690281917,0.03211840317629463,0.2720091092421614,0.011334973747273998,0.21262689277353206,0.03690671940746866,0.09668333246769734,0.12822671389533438,0.008780024305736076,0.006650706668360714,0.00818690240694187,0.02704537500637972,0.1602683571985268,0.03207285172647942,0.2709398003508641,0.011465467209699655,0.21253853290267619,0.03667949888112932,0.09682466961775296,0.12907740785037666,0.008727753417707172,0.006692077570724019,0.008215646776399937,0.026497936497663542
7,7,3,500,4,9618,1438.4757473821485,37.927242812813965,1.0,157,183.20666666666668,220,7.0,104.308,52.654,190.076,13.305734699999448,0.16000037239237808,0.028396454635402038,0.2769160387219003,0.009418783745109256,0.21958249994566148,0.03641381966018972,0.0949431614090584,0.12576392335470332,0.008175611388774779,0.006820435495909383,0.007501819415390996,0.02606707983552231,0.1609861579585947,0.028283882264256852,0.2763199705376092,0.009460170460568552,0.21949018709521062,0.03638250364758262,0.09532576315690966,0.1257614591286908,0.008208349792729944,0.006736813574562295,0.007532957413938131,0.025511784969346488
8,10,3,500,4,9618,1438.5216155296832,37.92784749402058,1.0,157,183.20666666666668,220,9.98,147.388,74.194,190.076,17.764017200039234,0.1600486854989327,0.029998742133973542,0.2667142961202103,0.008949036551309892,0.21809188470542168,0.036558179605985036,0.09653660139778024,0.13214829969021255,0.008694985478802974,0.007020614233131859,0.00824631796995371,0.026992356614285652,0.16135506514542575,0.03003213485037446,0.2657271625529418,0.009032197660632894,0.21807794110664178,0.036499305478747086,0.09664273645115977,0.1323693835438264,0.00869591573762356,0.006911789848326148,0.008223430885195861,0.026432936739104372
9,7,1,500,4,9618,1441.3036403852966,37.964505006456974,1.0,157,183.20666666666668,220,7.0,143.424,72.212,190.076,17.796796500042547,0.15795351488434556,0.030073903955907092,0.2728193627748694,0.012158900806160314,0.21809594426591716,0.03563881461408318,0.0961333605356363,0.12785163309486117,0.008014385688880655,0.00682881385482979,0.008387036945815768,0.02604432857869347,0.15863858279528348,0.0299878900760434,0.2718930876414407,0.012177607811213529,0.2179920154977911,0.035548620411117574,0.09635532524941691,0.1286566936940284,0.008041504003929164,0.0067791911754362345,0.00840166468260589,0.025527816961693657
10,7,2,500,4,9618,1446.102674930124,38.02765671100606,1.0,157,183.20666666666668,220,7.0,121.78,61.39,190.076,15.627349600021262,0.15943508821249255,0.030210477836598876,0.27182809121373713,0.010038766512984241,0.2211028337600928,0.03756147952867118,0.0932087660228779,0.12616486970819196,0.008639900743295766,0.00681493178639544,0.008217594228601492,0.026777200446060564,0.16055538038029873,0.03003760179648723,0.27117108515215954,0.010075596394236974,0.2211856378962781,0.03753871537536178,0.09331005974263806,0.12634992440421874,0.008670436227534902,0.006785215794783223,0.008232322434068863,0.026088024401934067
11,12,1,500,4,9618,1446.9460952408378,38.03874465910827,1.0,157,183.20666666666668,220,11.998,329.54,165.27,190.076,38.959591799997725,0.15811386650111062,0.03546139228480015,0.26299481034037814,0.011876215509937218,0.2147341481610978,0.037837413076260804,0.1006225050865825,0.12551198222721405,0.009584173252838566,0.0071889290516180615,0.00885923800324322,0.027215326504919056,0.1588378326890887,0.03532513140856121,0.2625567010524447,0.011961947236163385,0.2146997441471674,0.03772741391488481,0.10065990753516171,0.125937739380685,0.009542769079748837,0.007159416232232821,0.008867632724002468,0.026723764599858948
12,10,2,500,4,9618,1448.3099283509923,38.056667331112855,1.0,157,183.20666666666668,220,10.0,199.764,100.382,190.076,24.184859399974812,0.16117275867974906,0.032086868067219616,0.26333197783480994,0.011919625818456932,0.2157792536985327,0.03874648126338062,0.09396959024354946,0.13154046697555244,0.00858030699786408,0.0075265249121005484,0.00863601101486839,0.02671013449391607,0.16190360919800215,0.03195925289638786,0.26245558966313026,0.012091178373045276,0.21575269111786363,0.03884294773587807,0.0940194117101039,0.13212059913210583,0.008589798384156987,0.007500719614902581,0.008625630230118104,0.026138571944305238
13,15,1,500,4,9618,1449.0664248305986,38.066605113019975,1.0,157,183.20666666666668,220,14.37,347.708,174.354,190.076,44.34033229999477,0.1605338378829936,0.03399801007212571,0.26598838441322936,0.01176106588038963,0.21104363009485982,0.037517676239978225,0.09978932889301562,0.1263003791321075,0.009423246075191164,0.0074069000074691105,0.008935501901242744,0.02730203940739761,0.16144602909492897,0.03390075965716487,0.26522803274669415,0.011786404638532061,0.21094885554459455,0.0373957668660448,0.09981662979954015,0.1270446076509487,0.009420635752629369,0.007310927496567075,0.00889547000402442,0.026805880748330662
14,10,1,500,4,9618,1455.810802286584,38.155088812458345,1.0,157,183.20666666666668,220,10.0,284.22,142.61,190.076,34.29790379997576,0.15905950015135564,0.034006989516553926,0.2669070708467014,0.013171130037414996,0.21039190181502923,0.03727204431106416,0.09816656707625915,0.12831425996349125,0.009018299526119985,0.00654220717166744,0.00982593213428347,0.02732409745005935,0.1598337834648126,0.03397351863899539,0.26615209791085,0.013261863948986019,0.21019029933518266,0.037253550474352415,0.09824946191533013,0.12895420513409556,0.009042333418151848,0.006488472307824565,0.009864621467418516,0.026735791984000272
15,8,3,500,4,9618,1459.7411565278176,38.20655907730789,1.0,157,183.20666666666668,220,8.0,125.304,63.152,190.076,15.594983400020283,0.16569979781049696,0.027885071299410428,0.2703239805090581,0.011579252045071941,0.21908559015506066,0.03653759911663302,0.0929196568885132,0.12627780755799656,0.008178197162609908,0.006401197949767437,0.008683855649738668,0.026427993855643078,0.16694235564978008,0.027850687640767452,0.26954057149917565,0.011604178226075165,0.2186196630542359,0.036524500445763365,0.09315432810904825,0.12669931977847917,0.008209601682064605,0.006274770584403771,0.008720868849354033,0.025859154480852648
16,6,1,500,4,9618,1462.915161715098,38.248073960855834,1.0,157,183.20666666666668,220,6.0,93.48,47.24,190.076,11.969694500032347,0.16021833917592126,0.02828741910145516,0.2764912846748332,0.009989938259646008,0.217648944748483,0.034047928402734726,0.09347619447521059,0.13269154374135111,0.00825286779070626,0.006245330755129426,0.008005311354491255,0.02464489752003813,0.16123524099679243,0.028108652645798333,0.2760780741979595,0.010068925213434207,0.21752579236842812,0.03398645766930352,0.09370860594758737,0.13280180422151996,0.008247817738019567,0.006206305283160312,0.007985729210313153,0.024046594507683528
17,6,2,500,4,9618,1463.8209309525928,38.259912845595885,1.0,157,183.20666666666668,220,6.0,85.076,43.038,190.076,11.310521700012032,0.1582294089807295,0.028400987185508333,0.27890131417361064,0.0113229743892518,0.21741524581573998,0.03408123288748806,0.09407635678787371,0.13048574794759715,0.007929009828098035,0.006630579429113831,0.006939805773047757,0.02558733680194125,0.15972177219478736,0.02818543134205346,0.27853176749891856,0.011498150223518112,0.2169584932734965,0.03399819020792338,0.09400425829500478,0.13066075233634217,0.007921227242254589,0.006546243317592899,0.006874166296837682,0.025099547771270454
18,7,5,500,4,9618,1480.6838110012861,38.47965450730147,1.0,157,183.20666666666668,220,7.0,78.744,39.872,190.076,10.239277000015136,0.1569981960032079,0.026389737574669118,0.27356777026844664,0.008906989935541485,0.22215141403950794,0.034791982741797726,0.09798175371869615,0.13223961498126285,0.007358997293029091,0.005687066963896899,0.007631755242182582,0.02629472123776168,0.1582522571018342,0.026209782756637327,0.27304990373652716,0.009124104684259475,0.22196221393979232,0.034522570259835135,0.09809875481227527,0.13244107118230541,0.007372118629475392,0.005615343267238727,0.0077163848145927584,0.025635494815226752
19,6,3,500,4,9618,1483.998090170273,38.52269578015372,1.0,157,183.20666666666668,220,6.0,77.412,39.206,190.076,9.649937500013039,0.16098669241428465,0.027902163548467647,0.27786555349291475,0.010519403353690041,0.22220381394619204,0.03265365195949971,0.09246355836618854,0.13008327095301506,0.007599833184166286,0.0060774229638169775,0.006844247856595447,0.02480038796116888,0.1624641879296056,0.027685427054027444,0.27732023450288873,0.010575842235599623,0.22206551746762898,0.03254157403612939,0.09259261607655207,0.13016565155759208,0.007634494629447586,0.005977685757346742,0.00684105201662397,0.024135716736557827
20,8,5,500,4,9618,1497.444205323741,38.69682422788388,1.0,157,183.20666666666668,220,7.996,86.528,43.764,190.076,10.918384700024035,0.15830702357019008,0.027136630246936213,0.2724491774778331,0.009504658723847254,0.22046398685993332,0.03597763567378373,0.09638407367188442,0.13240292681787383,0.007709622909824118,0.006215466874063611,0.00707720589187366,0.026371591281956708,0.15986013112985864,0.027019997211603697,0.2723131398523754,0.00960590352401461,0.2199123808631135,0.0357061657861756,0.0965447642234192,0.1324813854524911,0.007685656378179255,0.006095731490532806,0.007171551546231613,0.025603192542004775
21,10,5,500,4,9618,1499.5047573143654,38.72343937868078,1.0,157,183.20666666666668,220,9.33,91.692,46.346,190.076,11.084346700052265,0.15518876160901632,0.02834676455743947,0.27417380539305397,0.008922637198529012,0.21964594443606533,0.036522617099682214,0.09771428138930364,0.13302024430142242,0.007579657713731322,0.006301151129910792,0.006218713858888124,0.02636542131295734,0.15643450826697525,0.028367828140884847,0.2739916518070282,0.009056275974961631,0.2194403497249619,0.03625219277541754,0.09775777293339513,0.133091772104239,0.007543755255604531,0.006215798024642125,0.006221017234535455,0.025627077757354344
22,15,5,500,4,9618,1501.636229709033,38.75095133940628,1.0,157,183.20666666666668,220,9.558,92.332,46.666,190.076,11.43235720001394,0.15544051968081382,0.02895457154538469,0.2732769770585902,0.008883494835481266,0.2195218087380949,0.03595018900142732,0.09735139694619914,0.13386905832061952,0.007508919913677468,0.006333044502930785,0.006103883950832049,0.026806135505948903,0.15674081432121267,0.028956493448825206,0.2729559484589052,0.0090209648689981,0.21930313346861938,0.03572764072806441,0.09744276283673715,0.1339118308536255,0.007478897438910751,0.0062670401406665814,0.006094503585978262,0.026099969849456794
23,12,5,500,4,9618,1502.8890165466378,38.76711256395861,1.0,157,183.20666666666668,220,9.546,92.3,46.65,190.076,11.354948599997442,0.15513501733160137,0.02897017660932993,0.2730660506490873,0.008884376426189033,0.2198285634337819,0.035983914401776146,0.09774053875983066,0.1336788708380024,0.0075155174216322606,0.006303122448665982,0.006087623297173861,0.026806228382929242,0.15642841392823717,0.02897865383095357,0.2727442898720611,0.009019153333871623,0.21962144439148776,0.0357661627001092,0.09784083086233362,0.13370463601102375,0.00748503651209767,0.006235921117008014,0.006076324939048817,0.026099132501767694
24,5,1,500,4,9618,1505.9781476677088,38.80693427298411,1.0,157,183.20666666666668,220,5.0,55.756,28.378,190.076,8.096768699993845,0.15742505507408824,0.024739699098295834,0.28693027399591203,0.010612476202213506,0.22212663883671327,0.03349024821637668,0.09032470681522678,0.1308735692004887,0.007241872184652892,0.005701271084302679,0.005670266496115916,0.024863922795613554,0.1588949880078952,0.024667062748213977,0.2855512266993183,0.010748883306484606,0.22189718866256458,0.033463293622862475,0.09065860717790968,0.13113112375529862,0.007261152707157283,0.005680117493028447,0.005699730363001844,0.024346625456264925
25,5,2,500,4,9618,1507.995050201227,38.832911945941255,1.0,157,183.20666666666668,220,5.0,52.836,26.918,190.076,7.142343699990306,0.1545725437253915,0.02505316587440473,0.2882048658115035,0.010257671553119954,0.22031142227195596,0.034229749860344265,0.09055145903138564,0.13293732914224185,0.007163290869220014,0.00563364545678361,0.006743051337715369,0.02434180506593368,0.1562559312680978,0.024945419179210258,0.2868672928861242,0.010448625522402442,0.2202149310815165,0.03421828770152825,0.09079822615383686,0.1331279838986121,0.0071616653422353314,0.005550462394012779,0.006779189612065072,0.023631984960358236
26,6,5,500,4,9618,1524.8934646727719,39.04988431061956,1.0,157,183.20666666666668,220,6.0,64.616,32.808,190.076,8.502561500004958,0.15651975265815365,0.02456491257635421,0.2804419990762198,0.008273322396715813,0.22360560100735868,0.034678113955116975,0.09568156138608884,0.129733873908886,0.007978117762852732,0.006220538908068043,0.006125358893188347,0.026176847470996963,0.15811345804099505,0.024242202167692455,0.27985570483274264,0.008335682477941054,0.22342628894661853,0.0346485707794347,0.09566916712865878,0.13003464347233173,0.00802596020711139,0.006064281252796658,0.006144639834105993,0.025439400859571106
27,5,3,500,4,9618,1536.5017630964437,39.19823673453238,1.0,157,183.20666666666668,220,5.0,50.152,25.576,190.076,7.040382499981206,0.15608941757288827,0.024173492877900465,0.2899710612847733,0.010857966211083855,0.22014055504211485,0.034417998448057895,0.0910731222491047,0.13009256412844916,0.007061337215978763,0.005237717367476229,0.006910653580314938,0.02397411402185746,0.15765997011984478,0.023933293598352126,0.28909249884649385,0.011013699180469867,0.22023520359766482,0.03413871140758044,0.09119430932442012,0.1302779488624882,0.007042530348984875,0.005186041147776814,0.0069334213387657745,0.02329237222715832
28,5,5,500,4,9618,1565.341755700521,39.56440010540437,1.0,157,183.20666666666668,220,5.0,45.74,23.37,190.076,6.095022500026971,0.156370343676556,0.02305923740475525,0.289371298569839,0.007411174555761916,0.22641118356677753,0.033465959600346096,0.09290691668534301,0.12727764291200724,0.00662512406097378,0.005780193645153596,0.006284077792685017,0.025036847529801516,0.15808062510020648,0.022882340852549452,0.28806893308764103,0.007574959574296374,0.22677334749077846,0.033137455438328974,0.09307979256102411,0.12754722579641972,0.006623341464766567,0.005729076467287092,0.006295056213424069,0.024207845953277605
29,4,2,500,4,9618,1646.2582566637952,40.57410820540355,1.0,157,183.20666666666668,220,4.0,29.348,15.174,190.076,4.380881700024474,0.15591299454299865,0.019864700036611383,0.3012307033355514,0.008705985663412267,0.225616968076806,0.03198171823296762,0.09086405550697264,0.12591771658215076,0.005844006389700738,0.005221955365049277,0.004787788703960999,0.024051407563818322,0.15840542952074116,0.01969319312682509,0.30050815052578395,0.00865594249726229,0.22624227350458198,0.03139698957776015,0.09087388672287743,0.12550607583159806,0.005839913976984256,0.0050966461068662474,0.004807698648591217,0.022973799960128143
30,4,1,500,4,9618,1646.4454848376872,40.57641537688719,1.0,157,183.20666666666668,220,4.0,30.016,15.508,190.076,4.581967299978714,0.15599500197738567,0.01976992436511562,0.29897287171796494,0.008779428765336033,0.22696815868515563,0.03198733951002195,0.0917006643753679,0.12545662320014664,0.005779065396522498,0.0051263929144494775,0.005217501511457335,0.024247027581076108,0.15833156262736836,0.019559937507084884,0.29852133277187215,0.008759855539603647,0.22757719819134092,0.03150023575297568,0.09170860509079884,0.12486680375625056,0.0057822454555737975,0.005021203329531574,0.0052179686199764815,0.02315305135762309
31,4,3,500,4,9618,1669.0384200104752,40.8538666469953,1.0,157,183.20666666666668,220,4.0,28.76,14.88,190.076,4.725031499983743,0.15441182824253372,0.019601431093462088,0.29853594143138645,0.008477388391288967,0.2295241743340234,0.03196843185260697,0.08992511994852102,0.1274037448326611,0.005686361102835414,0.005100244383385043,0.004632403716010812,0.024732930671285114,0.15687157095001109,0.019338522575140894,0.29777038228533637,0.008412687476698419,0.2301496231789921,0.03143280388989058,0.09029366707642734,0.12678942457677575,0.005680322839985773,0.004995584988744663,0.004648051895139939,0.02361735826685704
32,4,5,500,4,9618,1703.882611437147,41.27811298299799,1.0,157,183.20666666666668,220,4.0,27.768,14.384,190.076,3.8544244000222534,0.15172545915145216,0.019328354195404435,0.29740979121473193,0.007362164304112666,0.23034614269717432,0.03198348195747445,0.09114236423840724,0.13046249217847197,0.005349660984783855,0.005499640481412016,0.004632715079600477,0.024757733516974426,0.15415423137775436,0.019145185422805605,0.29660316780482554,0.007349486717281837,0.23097265379422138,0.03162289465790686,0.09168643234084611,0.12952374641663894,0.005333450006652296,0.005421305581887272,0.004648639939312413,0.0235388059398675
