base_id,complete_id,structure_id,mean_log_loss,std_log_loss,mean_brier_score,mean_roc_auc,mean_probability,observed_prevalence,absolute_prevalence_bias,mean_best_n_estimators,median_best_n_estimators,mdi_rank_stability,mdi_top5_overlap,max_depth,learning_rate,min_child_weight,gamma,subsample,colsample_bytree,reg_lambda,reg_alpha,imbalance_strategy,scale_pos_weight,max_delta_step,sampling_ratio,k_neighbors,calibration,calibration_folds
s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None|cal=sigmoid|folds=5,28,0.3813831525474553,0.042448889083395454,0.11685973709587606,0.7482218591140161,0.15667766206197925,0.1566666666666667,1.0995395312618505e-05,122.0,122,0.8260911502290813,0.886896551724138,3,0.03,3.0,0.1,0.85,0.85,1.0,0.1,scale_pos_weight,1.5,0.0,,,sigmoid,5
s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None|cal=sigmoid|folds=8,28,0.3816701391285562,0.043823927636529925,0.11679160877486704,0.7482218591140161,0.15562012434555025,0.1566666666666667,0.0010465423211163413,122.0,122,0.8260911502290813,0.886896551724138,3,0.03,3.0,0.1,0.85,0.85,1.0,0.1,scale_pos_weight,1.5,0.0,,,sigmoid,8
s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None|cal=sigmoid|folds=3,28,0.38168451632495165,0.043223849384326954,0.11691769056728735,0.7482218591140161,0.15641586947629707,0.1566666666666667,0.0002507971903695713,122.0,122,0.8260911502290813,0.886896551724138,3,0.03,3.0,0.1,0.85,0.85,1.0,0.1,scale_pos_weight,1.5,0.0,,,sigmoid,3
s43|imb=smote|w=1.0|delta=0.0|r=0.2|k=3,s43|imb=smote|w=1.0|delta=0.0|r=0.2|k=3|cal=sigmoid|folds=5,43,0.3862199363751806,0.043432648874661264,0.11811948410188683,0.7423469135802472,0.15390620595000565,0.1566666666666667,0.0027604607166609634,79.0,79,0.7121131741821398,0.7039080459770113,4,0.1,3.0,0.5,0.85,0.7,5.0,1.0,smote,1.0,0.0,0.2,3.0,sigmoid,5
s43|imb=smote|w=1.0|delta=0.0|r=0.2|k=3,s43|imb=smote|w=1.0|delta=0.0|r=0.2|k=3|cal=sigmoid|folds=8,43,0.38660354177037626,0.04165088422139383,0.11808909788954498,0.7423469135802472,0.1536704259811123,0.1566666666666667,0.0029962406855543336,79.0,79,0.7121131741821398,0.7039080459770113,4,0.1,3.0,0.5,0.85,0.7,5.0,1.0,smote,1.0,0.0,0.2,3.0,sigmoid,8
s55|imb=random_over|w=1.0|delta=0.0|r=0.2|k=None,s55|imb=random_over|w=1.0|delta=0.0|r=0.2|k=None|cal=sigmoid|folds=5,55,0.38691652004648636,0.0390918861049866,0.1190828780716003,0.7488054466230937,0.15507681628843573,0.1566666666666667,0.0015898503782309221,132.0,132,0.7160678402057713,0.738390804597701,4,0.03,3.0,1.0,1.0,0.7,5.0,0.0,random_over,1.0,0.0,0.2,,sigmoid,5
s43|imb=smote|w=1.0|delta=0.0|r=0.2|k=3,s43|imb=smote|w=1.0|delta=0.0|r=0.2|k=3|cal=sigmoid|folds=3,43,0.3870158852348966,0.04532159026963016,0.11837980391875319,0.7423469135802472,0.15461413938028945,0.1566666666666667,0.0020525272863772303,79.0,79,0.7121131741821398,0.7039080459770113,4,0.1,3.0,0.5,0.85,0.7,5.0,1.0,smote,1.0,0.0,0.2,3.0,sigmoid,3
s55|imb=random_over|w=1.0|delta=0.0|r=0.2|k=None,s55|imb=random_over|w=1.0|delta=0.0|r=0.2|k=None|cal=sigmoid|folds=8,55,0.3875744483882722,0.0406382507173455,0.11902216171929854,0.7488054466230937,0.15520490477363752,0.1566666666666667,0.0014617618930291578,132.0,132,0.7160678402057713,0.738390804597701,4,0.03,3.0,1.0,1.0,0.7,5.0,0.0,random_over,1.0,0.0,0.2,,sigmoid,8
s58|imb=smote|w=1.0|delta=0.0|r=0.2|k=4,s58|imb=smote|w=1.0|delta=0.0|r=0.2|k=4|cal=sigmoid|folds=5,58,0.38770830829493186,0.03539913422066487,0.11866469305297263,0.7348893972403778,0.15334306226074337,0.1566666666666667,0.0033236044059232967,257.0,257,0.7464512498995259,0.7618390804597701,3,0.01,1.0,0.5,1.0,0.85,1.0,1.0,smote,1.0,0.0,0.2,4.0,sigmoid,5
s55|imb=random_over|w=1.0|delta=0.0|r=0.2|k=None,s55|imb=random_over|w=1.0|delta=0.0|r=0.2|k=None|cal=sigmoid|folds=3,55,0.3878317836253698,0.04261962903197466,0.11935951048419977,0.7488054466230937,0.1557432987435279,0.1566666666666667,0.0009233679231387571,132.0,132,0.7160678402057713,0.738390804597701,4,0.03,3.0,1.0,1.0,0.7,5.0,0.0,random_over,1.0,0.0,0.2,,sigmoid,3
