rank,feature,total_gain,gain,weight,cover,total_cover
1,LotArea,0.2041581751541926,0.08980283505534425,0.2,0.09195602318494514,0.2144963262967417
2,OverallQual,0.19077012817456693,0.15360499938328026,0.10925925925925926,0.12006888399682587,0.1530024557496542
3,GarageArea,0.10786980480385204,0.07764311494792812,0.12222222222222222,0.07433525633103294,0.10596311136812281
4,GrLivArea,0.10774561832670307,0.08391059365130403,0.11296296296296296,0.09802042836230375,0.12914046271059473
5,TotalBsmtSF,0.10044638545527557,0.09356451159693828,0.09444444444444444,0.08040555881291697,0.0885670499497824
6,YearBuilt,0.08342994251581295,0.06833464899630758,0.10740740740740741,0.0576801622182555,0.07225540827180252
7,OverallCond,0.06567686185576659,0.08000088867632273,0.07222222222222222,0.1042937373186203,0.08784938904861687
8,WoodDeckSF,0.04897898448261512,0.06843493897927398,0.06296296296296296,0.06235403394520799,0.04578881502147038
9,BedroomAbvGr,0.025250566106337885,0.09996244924007625,0.022222222222222223,0.10271873444267453,0.02662237577879856
10,YearRemodAdd,0.02494053454264203,0.053855502869163706,0.040740740740740744,0.058739334268019854,0.027910500561241655
11,Fireplaces,0.023445326479818555,0.07955642844403885,0.025925925925925925,0.07485976222267009,0.022635620353835696
12,OpenPorchSF,0.017287672102416666,0.051329088160022004,0.02962962962962963,0.0745680848965271,0.025768484889338476
