base_id,complete_id,structure_id,mean_log_loss,std_log_loss,mean_brier_score,mean_roc_auc,mean_probability,observed_prevalence,absolute_prevalence_bias,mean_best_n_estimators,median_best_n_estimators,mdi_rank_stability,mdi_top5_overlap,max_depth,learning_rate,min_child_weight,gamma,subsample,colsample_bytree,reg_lambda,reg_alpha,imbalance_strategy,scale_pos_weight,max_delta_step,sampling_ratio,k_neighbors,calibration,calibration_folds
s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None|cal=none|folds=None,28,0.37151545339796166,0.06763279061907501,0.11483046412467957,0.7744949891067539,0.17898201942443848,0.15666666666666665,0.022315352757771818,183.6,190,0.8027972027972028,0.8400000000000001,3,0.03,3,0.1,0.85,0.85,1.0,0.1,scale_pos_weight,1.5,0.0,,,none,
s55|imb=random_over|w=1.0|delta=0.0|r=0.2|k=None,s55|imb=random_over|w=1.0|delta=0.0|r=0.2|k=None|cal=none|folds=None,55,0.37270070144801537,0.055275956785515085,0.11422774344682693,0.7700270152505447,0.16020638942718507,0.15666666666666665,0.003539722760518399,253.0,157,0.6447552447552448,0.72,4,0.03,3,1.0,1.0,0.7,5.0,0.0,random_over,1.0,0.0,0.2,,none,
s41|imb=smote|w=1.0|delta=0.0|r=0.2|k=4,s41|imb=smote|w=1.0|delta=0.0|r=0.2|k=4|cal=none|folds=None,41,0.37446107078621216,0.04703079088806161,0.11614076197147369,0.7681272331154684,0.15561087131500245,0.15666666666666665,0.0010557953516642181,65.6,54,0.7501921395649898,0.8400000000000001,2,0.1,1,0.0,1.0,1.0,1.0,0.0,smote,1.0,0.0,0.2,4.0,none,
s58|imb=smote|w=1.0|delta=0.0|r=0.2|k=4,s58|imb=smote|w=1.0|delta=0.0|r=0.2|k=4|cal=none|folds=None,58,0.3755788655190547,0.05372927970586208,0.11533750891685486,0.7742806100217865,0.1589560627937317,0.15666666666666665,0.00228939612706503,234.8,319,0.7326667201661546,0.76,3,0.01,1,0.5,1.0,0.85,1.0,1.0,smote,1.0,0.0,0.2,4.0,none,
s28|imb=random_over|w=1.0|delta=0.0|r=0.2|k=None,s28|imb=random_over|w=1.0|delta=0.0|r=0.2|k=None|cal=none|folds=None,28,0.376023340519985,0.07035969208432098,0.11372668296098709,0.7684522875816994,0.15242442786693572,0.15666666666666665,0.00424223879973093,183.8,139,0.7615384615384617,0.86,3,0.03,3,0.1,0.85,0.85,1.0,0.1,random_over,1.0,0.0,0.2,,none,
s43|imb=smote|w=1.0|delta=0.0|r=0.2|k=3,s43|imb=smote|w=1.0|delta=0.0|r=0.2|k=3|cal=none|folds=None,43,0.376755084551153,0.07864100233257869,0.11453437954187393,0.7601307189542483,0.1546415016055107,0.15666666666666665,0.002025165061155948,215.2,95,0.6195804195804197,0.6599999999999999,4,0.1,3,0.5,0.85,0.7,5.0,1.0,smote,1.0,0.0,0.2,3.0,none,
s55|imb=smote|w=1.0|delta=0.0|r=0.2|k=3,s55|imb=smote|w=1.0|delta=0.0|r=0.2|k=3|cal=none|folds=None,55,0.37802033523287504,0.05822065014348757,0.11509967893362046,0.7425760348583879,0.1581069380044937,0.15666666666666665,0.0014402713378270538,201.8,154,0.6356643356643357,0.7,4,0.03,3,1.0,1.0,0.7,5.0,0.0,smote,1.0,0.0,0.2,3.0,none,
s55|imb=none|w=1.0|delta=1.0|r=None|k=None,s55|imb=none|w=1.0|delta=1.0|r=None|k=None|cal=none|folds=None,55,0.3782001119463415,0.05054597656046294,0.11669236123561859,0.7756592592592593,0.15172300040721892,0.15666666666666665,0.0049436662594477265,104.0,114,0.7784739803929444,0.8,4,0.03,3,1.0,1.0,0.7,5.0,0.0,none,1.0,1.0,,,none,
s28|imb=smote|w=1.0|delta=0.0|r=0.4|k=2,s28|imb=smote|w=1.0|delta=0.0|r=0.4|k=2|cal=none|folds=None,28,0.3786729100455724,0.05669312765696035,0.11996237188577652,0.7756662309368191,0.20850726664066316,0.15666666666666665,0.05184059997399648,169.4,139,0.5902097902097903,0.6,3,0.03,3,0.1,0.85,0.85,1.0,0.1,smote,1.0,0.0,0.4,2.0,none,
s55|imb=none|w=1.0|delta=0.0|r=None|k=None,s55|imb=none|w=1.0|delta=0.0|r=None|k=None|cal=none|folds=None,55,0.3787358878211951,0.05121477539983066,0.1163502961397171,0.7676662309368191,0.1519189089536667,0.15666666666666665,0.0047477577129999725,111.8,118,0.7671328671328672,0.8400000000000001,4,0.03,3,1.0,1.0,0.7,5.0,0.0,none,1.0,0.0,,,none,
s43|imb=none|w=1.0|delta=1.0|r=None|k=None,s43|imb=none|w=1.0|delta=1.0|r=None|k=None|cal=none|folds=None,43,0.3795625353643378,0.06797150591047328,0.11636912822723389,0.7682954248366013,0.15053883343935012,0.15666666666666665,0.006127833227316531,182.4,117,0.7671328671328672,0.78,4,0.1,3,0.5,0.85,0.7,5.0,1.0,none,1.0,1.0,,,none,
s55|imb=scale_pos_weight|w=1.5|delta=1.0|r=None|k=None,s55|imb=scale_pos_weight|w=1.5|delta=1.0|r=None|k=None|cal=none|folds=None,55,0.3801314239657044,0.060851213753562776,0.1167476385831833,0.7703520697167756,0.19169723689556123,0.15666666666666665,0.03503057022889456,528.2,543,0.7321678321678322,0.72,4,0.03,3,1.0,1.0,0.7,5.0,0.0,scale_pos_weight,1.5,1.0,,,none,
