stage,base_id,complete_id,structure_id,cv_seed,fold,best_n_estimators,log_loss,brier_score,roc_auc,mean_probability,observed_prevalence,prevalence_bias,max_depth,learning_rate,min_child_weight,gamma,subsample,colsample_bytree,reg_lambda,reg_alpha,imbalance_strategy,scale_pos_weight,max_delta_step,sampling_ratio,k_neighbors,calibration,calibration_folds,mdi_GrLivArea,mdi_LotArea,mdi_OverallQual,mdi_OverallCond,mdi_YearBuilt,mdi_YearRemodAdd,mdi_TotalBsmtSF,mdi_GarageArea,mdi_BedroomAbvGr,mdi_Fireplaces,mdi_WoodDeckSF,mdi_OpenPorchSF
repeated_raw,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None|cal=none|folds=None,28,0,1,31,0.40356266879813607,0.12284097075462341,0.7516339869281046,0.21219246089458466,0.15,0.06219246089458466,3,0.03,3.0,0.1,0.85,0.85,1.0,0.1,scale_pos_weight,1.5,0.0,,,none,,0.18293563993560363,0.11009057714566814,0.40238096472871654,0.04252407989633989,0.033836471966724485,0.012539317664317453,0.07996136718554903,0.07300413782022626,0.020794117905944133,0.0,0.026557956336675716,0.015375369414234723
repeated_raw,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None|cal=none|folds=None,28,0,2,122,0.34651185904353293,0.1039355918765068,0.8050108932461874,0.20809605717658997,0.15,0.05809605717658997,3,0.03,3.0,0.1,0.85,0.85,1.0,0.1,scale_pos_weight,1.5,0.0,,,none,,0.16712932516974888,0.21830033794470496,0.04689866953224028,0.06576827196061555,0.07820523218782288,0.05289278175152588,0.09778737967485274,0.08852824408885214,0.03680960257217306,0.018437850267337432,0.08671712368266941,0.042525181167456766
repeated_raw,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None|cal=none|folds=None,28,0,3,76,0.42132573413287405,0.12795698642730713,0.6339869281045751,0.15558502078056335,0.15,0.00558502078056336,3,0.03,3.0,0.1,0.85,0.85,1.0,0.1,scale_pos_weight,1.5,0.0,,,none,,0.12917248448028462,0.19402752687636968,0.22423189709527455,0.08960792929386135,0.03918937624348793,0.02587516951393637,0.11405385518787253,0.11627627424308846,0.0225136555062509,0.01815535534692191,0.014106312767016571,0.01279016344563512
repeated_raw,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None|cal=none|folds=None,28,0,4,29,0.4029165371269899,0.12154106050729752,0.8240000000000001,0.2313716560602188,0.16666666666666666,0.06470498939355215,3,0.03,3.0,0.1,0.85,0.85,1.0,0.1,scale_pos_weight,1.5,0.0,,,none,,0.07073540204793057,0.12534207275034118,0.22125929199793218,0.025540210864978614,0.10188979002149331,0.025651286386282834,0.0918556247091207,0.183694368236965,0.05526937638475885,0.042152711790474466,0.008230440922302587,0.048379423887419705
repeated_raw,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None|cal=none|folds=None,28,0,5,107,0.41811841042374187,0.13168571889400482,0.727,0.21044443547725677,0.16666666666666666,0.04377776881059012,3,0.03,3.0,0.1,0.85,0.85,1.0,0.1,scale_pos_weight,1.5,0.0,,,none,,0.1831087370476273,0.19989216935188062,0.09657908886235815,0.03829626750991566,0.09969173038013339,0.028458168201989036,0.151263764471222,0.06079938240565453,0.020860256289524717,0.07222031580327744,0.031559829890035335,0.017270289786381832
repeated_raw,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None|cal=none|folds=None,28,42,1,207,0.358430195818587,0.11102654039859772,0.7930283224400871,0.19490332901477814,0.15,0.04490332901477814,3,0.03,3.0,0.1,0.85,0.85,1.0,0.1,scale_pos_weight,1.5,0.0,,,none,,0.11322822114086936,0.17662984946817403,0.15396011407981475,0.0537869524520085,0.0941475301222384,0.04022406072801935,0.11480652759072377,0.1552572871071498,0.010949514099681645,0.017225753341821384,0.052464923553329684,0.017319266316169316
repeated_raw,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None|cal=none|folds=None,28,42,2,138,0.4378005080458522,0.13217012584209442,0.6187363834422658,0.18463140726089478,0.15,0.03463140726089478,3,0.03,3.0,0.1,0.85,0.85,1.0,0.1,scale_pos_weight,1.5,0.0,,,none,,0.0724937283357154,0.16560615286454727,0.2253002388715357,0.055827125079944806,0.060763625677625166,0.03523844184040618,0.15222554067454266,0.12045490162114605,0.016673211824067613,0.0,0.05762067114661189,0.03779636206385726
repeated_raw,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None|cal=none|folds=None,28,42,3,94,0.35276916544175607,0.10951658338308334,0.7919389978213507,0.20176249742507935,0.15,0.05176249742507935,3,0.03,3.0,0.1,0.85,0.85,1.0,0.1,scale_pos_weight,1.5,0.0,,,none,,0.1176723055264108,0.2209737002581113,0.0831604922011444,0.06815840810118177,0.07376091486414596,0.012315392356737453,0.1423879251432245,0.14852708069204829,0.025881009151338796,0.045055122727210906,0.05290829663303264,0.009199352345413192
repeated_raw,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None|cal=none|folds=None,28,42,4,149,0.3631458450189257,0.11767006665468216,0.821,0.16923196613788605,0.16666666666666666,0.00256529947121939,3,0.03,3.0,0.1,0.85,0.85,1.0,0.1,scale_pos_weight,1.5,0.0,,,none,,0.12412015110660164,0.17238266456464615,0.13687837954845197,0.04810414385256399,0.11804871355934325,0.03828510628002298,0.08789628393002563,0.09087715219444652,0.03309885575607698,0.07986796133650549,0.027257729331119043,0.043182858540196344
repeated_raw,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None,s28|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None|cal=none|folds=None,28,42,5,120,0.43588550827109435,0.13805173337459564,0.706,0.184172585606575,0.16666666666666666,0.017505918939908355,3,0.03,3.0,0.1,0.85,0.85,1.0,0.1,scale_pos_weight,1.5,0.0,,,none,,0.19070229922484036,0.19359427806103707,0.13739125947942069,0.06508692218249806,0.05422983895560152,0.02889367047674548,0.08651788224366305,0.10728992062755364,0.02751892151318616,0.04154670312836857,0.05044665972293075,0.01678164438415465
