stage,base_id,complete_id,structure_id,cv_seed,fold,best_n_estimators,log_loss,brier_score,roc_auc,mean_probability,observed_prevalence,prevalence_bias,max_depth,learning_rate,min_child_weight,gamma,subsample,colsample_bytree,reg_lambda,reg_alpha,imbalance_strategy,scale_pos_weight,max_delta_step,sampling_ratio,k_neighbors,calibration,calibration_folds,mdi_GrLivArea,mdi_LotArea,mdi_OverallQual,mdi_OverallCond,mdi_YearBuilt,mdi_YearRemodAdd,mdi_TotalBsmtSF,mdi_GarageArea,mdi_BedroomAbvGr,mdi_Fireplaces,mdi_WoodDeckSF,mdi_OpenPorchSF
structure_screen,s0|imb=none|w=1.0|delta=0.0|r=None|k=None,s0|imb=none|w=1.0|delta=0.0|r=None|k=None|cal=none|folds=None,0,9618,1,116,0.4479080410029333,0.13562709093093872,0.505446623093682,0.14686281979084015,0.15,-0.0031371802091598455,4,0.03,10,0.5,0.85,1.0,10.0,1.0,none,1.0,0.0,,,none,,0.027840349223275575,0.07234499149819518,0.40871486439007687,0.05524746673426386,0.00518798229976423,0.0,0.0,0.19045426297179638,0.0,0.23376109430380218,0.0,0.006448988578825738
structure_screen,s0|imb=none|w=1.0|delta=0.0|r=None|k=None,s0|imb=none|w=1.0|delta=0.0|r=None|k=None|cal=none|folds=None,0,9618,2,1,0.42271451941003574,0.12750039994716644,0.5555555555555556,0.1581958383321762,0.15,0.008195838332176214,4,0.03,10,0.5,0.85,1.0,10.0,1.0,none,1.0,0.0,,,none,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
structure_screen,s0|imb=none|w=1.0|delta=0.0|r=None|k=None,s0|imb=none|w=1.0|delta=0.0|r=None|k=None|cal=none|folds=None,0,9618,3,191,0.37111659311031225,0.11289302259683609,0.803921568627451,0.16107763350009918,0.15,0.011077633500099188,4,0.03,10,0.5,0.85,1.0,10.0,1.0,none,1.0,0.0,,,none,,0.165757568459331,0.03935124967335757,0.1682648593858459,0.06737298194409824,0.01703610533532873,0.06737715137961314,0.04721009904602553,0.15482533199599421,0.0,0.2257836473108862,0.0,0.047021005469519456
structure_screen,s0|imb=none|w=1.0|delta=0.0|r=None|k=None,s0|imb=none|w=1.0|delta=0.0|r=None|k=None|cal=none|folds=None,0,9618,4,108,0.42748014834781334,0.13211150467395782,0.644,0.1511096954345703,0.16666666666666666,-0.015556971232096345,4,0.03,10,0.5,0.85,1.0,10.0,1.0,none,1.0,0.0,,,none,,0.21063488554058124,0.01359823798842017,0.4878053364455732,0.0,0.03696071387078204,0.0,0.008297591039040042,0.06223384714082359,0.0,0.06256934306118823,0.10094970818970005,0.01695033672389138
structure_screen,s0|imb=none|w=1.0|delta=0.0|r=None|k=None,s0|imb=none|w=1.0|delta=0.0|r=None|k=None|cal=none|folds=None,0,9618,5,723,0.4247191273010581,0.13311387598514557,0.672,0.16633398830890656,0.16666666666666666,-0.00033267835776010224,4,0.03,10,0.5,0.85,1.0,10.0,1.0,none,1.0,0.0,,,none,,0.06474324911769427,0.11451093858611877,0.27919766602465723,0.0471706211652034,0.004282828843950345,0.04795072351226964,0.07531949284602725,0.07750490762102778,0.0,0.18310108697908584,0.0700957295015182,0.036122755802447275
structure_screen,s1|imb=none|w=1.0|delta=0.0|r=None|k=None,s1|imb=none|w=1.0|delta=0.0|r=None|k=None|cal=none|folds=None,1,9618,1,174,0.4766362476409934,0.14624960720539093,0.5947712418300652,0.12875910103321075,0.15,-0.02124089896678924,2,0.1,5,0.0,1.0,1.0,10.0,0.1,none,1.0,0.0,,,none,,0.08015176153043697,0.20182659542931305,0.3125213976449359,0.06149169300657247,0.06040571408580628,0.01875509905531789,0.08507506473197046,0.05501137513619952,0.007117476533376485,0.0934759585911311,0.001635633974491049,0.02253223028044882
structure_screen,s1|imb=none|w=1.0|delta=0.0|r=None|k=None,s1|imb=none|w=1.0|delta=0.0|r=None|k=None|cal=none|folds=None,1,9618,2,1,0.4226175914448289,0.12747301161289215,0.5119825708061003,0.1570095717906952,0.15,0.007009571790695196,2,0.1,5,0.0,1.0,1.0,10.0,0.1,none,1.0,0.0,,,none,,0.7748821294416716,0.2251178705583284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
structure_screen,s1|imb=none|w=1.0|delta=0.0|r=None|k=None,s1|imb=none|w=1.0|delta=0.0|r=None|k=None|cal=none|folds=None,1,9618,3,157,0.2807474761529726,0.07971342653036118,0.8747276688453158,0.17510858178138733,0.15,0.025108581781387335,2,0.1,5,0.0,1.0,1.0,10.0,0.1,none,1.0,0.0,,,none,,0.11495593699594382,0.16568360320068068,0.15526961334012937,0.05075328104498073,0.10028252799321047,0.01580099030060509,0.12124113810425069,0.06291787987823065,0.06738522162515125,0.0757133855612312,0.06018511195406462,0.009811310001521432
structure_screen,s1|imb=none|w=1.0|delta=0.0|r=None|k=None,s1|imb=none|w=1.0|delta=0.0|r=None|k=None|cal=none|folds=None,1,9618,4,36,0.4068334073689643,0.12473097443580627,0.712,0.1549224555492401,0.16666666666666666,-0.011744211117426545,2,0.1,5,0.0,1.0,1.0,10.0,0.1,none,1.0,0.0,,,none,,0.10446643173269751,0.2493528367959235,0.29389545547312873,0.020857342401541246,0.0481730591784732,0.0,0.11585136344933708,0.0,0.10916199016843951,0.0,0.05235072298685483,0.005890797813604436
structure_screen,s1|imb=none|w=1.0|delta=0.0|r=None|k=None,s1|imb=none|w=1.0|delta=0.0|r=None|k=None|cal=none|folds=None,1,9618,5,388,0.3980371325179253,0.12232053279876709,0.774,0.14071598649024963,0.16666666666666666,-0.025950680176417024,2,0.1,5,0.0,1.0,1.0,10.0,0.1,none,1.0,0.0,,,none,,0.0746192056083102,0.19602179047382268,0.1662036043998648,0.05561590399802048,0.06523682074999004,0.03221831041508004,0.11274181765413138,0.10882898287397885,0.028628267847788418,0.04496847132438841,0.09920144398247623,0.015715380672148477
