rank,feature,total_gain,gain,weight,cover,total_cover
1,OverallQual,0.3627929697437439,0.2742304167760273,0.20984455958549222,0.09976336000148975,0.20963601124336612
2,GrLivArea,0.21606945219914891,0.12599284115933307,0.27202072538860106,0.09988188293052568,0.27207322394390493
3,YearBuilt,0.18746927360739177,0.2295629969242149,0.12953367875647667,0.1001273742485928,0.129877114473297
4,GarageArea,0.1167185894322924,0.21018557595867413,0.08808290155440414,0.09967501989308704,0.08791744040914487
5,TotalBsmtSF,0.10878771382537047,0.12334679462143887,0.13989637305699482,0.09972956025593982,0.139709986098004
6,LotArea,0.003923462647481729,0.007506912153621154,0.08290155440414508,0.10012297544716771,0.08311770018366871
7,YearRemodAdd,0.002606404001618656,0.014507442223630247,0.02849740932642487,0.09995740265159989,0.028524460409753722
8,OpenPorchSF,0.0008054760124023702,0.005479638231230284,0.023316062176165803,0.09978750864540552,0.02329852760611688
9,WoodDeckSF,0.0007020651579469048,0.0053731531969173595,0.02072538860103627,0.09905952789938312,0.020558718175083972
10,Fireplaces,0.00012459337260287538,0.0038142287549127163,0.0051813471502590676,0.1018953880268087,0.005286817457659796
11,OverallCond,0.0,0.0,0.0,0.0,0.0
12,BedroomAbvGr,0.0,0.0,0.0,0.0,0.0
