stage,candidate_id,config_key,cv_seed,fold,n_train,n_validation,best_n_estimators,mse,rmse,max_depth,learning_rate,min_child_weight,gamma,subsample,colsample_bytree,reg_lambda,reg_alpha,mdi_GrLivArea,mdi_LotArea,mdi_OverallQual,mdi_OverallCond,mdi_YearBuilt,mdi_YearRemodAdd,mdi_TotalBsmtSF,mdi_GarageArea,mdi_BedroomAbvGr,mdi_Fireplaces,mdi_WoodDeckSF,mdi_OpenPorchSF
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",0,1,240,60,206,1252.195557299462,35.386375306033564,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.21660784628939223,0.000409657488141737,0.3674077116316837,0.0,0.19171288636638825,0.0033881022357907073,0.10704486523636886,0.11329247060431737,0.0001364601479171914,0.0,0.0,0.0
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",0,2,240,60,353,1165.8088608353303,34.14394325257893,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.20829615947883431,0.004796386769307006,0.33312260038754987,0.0,0.2478179737311002,0.002675251231147717,0.10502453162657557,0.0937887516359879,0.0,0.0006995938880608264,0.0004768358830599984,0.00330191536837659
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",0,3,240,60,341,1572.9047581899172,39.659863315320656,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.17618697891281884,0.012598717460893461,0.3863481901588191,0.0002013833713326796,0.15678496864299024,0.0022725737269872646,0.11903286438950277,0.1446540008909414,0.001246494407752607,0.0,0.0005972480382476263,7.657999971399945e-05
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",0,4,240,60,458,846.6184063158819,29.096707826073416,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.23185632308598694,0.0058018481646144445,0.30334114523715067,0.0004661352690032479,0.21250204889588448,0.006001768033499565,0.09776785706300006,0.1377913359559601,0.00017443801053554914,8.376658065066616e-05,0.001590045986030181,0.0026232877176841133
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",0,5,240,60,141,1542.3969619875556,39.27336198987242,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.2499427366267938,0.0005553165678378999,0.3764635781195847,0.0,0.1631367279926187,0.0007315555676799989,0.10110649846132813,0.10806358666415677,0.0,0.0,0.0,0.0
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",42,1,240,60,140,1102.622082392673,33.20575375432205,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.16951340750650193,0.0005961873587563691,0.4730984008497757,0.0,0.12702519074635388,0.004855818369324946,0.10683989832519504,0.11807109684409214,0.0,0.0,0.0,0.0
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",42,2,240,60,344,1317.701080664835,36.30015262591653,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.23261312387207378,0.003572732100351718,0.2925083395333983,7.314595445577759e-05,0.23703663508221567,0.008807341772883746,0.11843535048452122,0.10283575311672198,0.0,0.0002661653012151014,0.0014405440437481952,0.0024108687384145344
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",42,3,240,60,602,1340.6251185572394,36.61454790868296,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.21037842433545345,0.007659873183337633,0.3635085031839808,0.000633586903842109,0.14656784242771875,0.002707355549246625,0.10793380549668605,0.15786847754516492,0.00023090281747035227,0.0,0.00138716660548039,0.0011240619516189128
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",42,4,240,60,300,1110.3243669581166,33.32153008128703,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.23434882250934178,0.002668659311008949,0.34913376622044817,0.0001539332438051333,0.17029670909088432,0.00318030826035335,0.11254714032029293,0.12548196310007165,0.0,0.0,0.0012076729525403553,0.0009810249912533635
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",42,5,240,60,520,1808.639076881057,42.52809749896011,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.20445348264751664,0.012477938402558062,0.4040769020869521,0.0004529998449987171,0.15696281406055984,0.001491397997140895,0.119789486549358,0.09325319531723925,0.0013589514509804777,0.0006965825515794134,0.0020570815245201306,0.002929167566596451
