,GrLivArea,LotArea,OverallQual,OverallCond,years_since_built_2011,years_since_remodel_2011,TotalBsmtSF,GarageArea,BedroomAbvGr,Fireplaces,WoodDeckSF,OpenPorchSF,sale_price_keur,distressed
GrLivArea,1.0,0.4239677870855565,0.5964243334495466,-0.0011222645637992159,-0.20112640974117116,-0.37408197615017147,0.36848990537567594,0.48288841286152506,0.5114115844208051,0.3537425831317202,0.29963368742950186,0.23558658373566196,0.7325887735112123,-0.227520702040915
LotArea,0.4239677870855565,1.0,0.3073872308826032,-0.030549742692720497,-0.09516442436258386,-0.08722597732270514,0.3647100479467847,0.3022279276512931,0.059932309837405745,0.3074090177414607,0.36575138478678393,0.13002777780013952,0.3781459872103554,-0.11853626661517629
OverallQual,0.5964243334495466,0.3073872308826032,1.0,0.0321838080237975,-0.6044425709811133,-0.5341545461251618,0.5886202747742366,0.6521759713410663,0.17144361792909146,0.39693774861978237,0.28134032280736404,0.29924802032208886,0.855107672361608,-0.2795780483412711
OverallCond,-0.0011222645637992159,-0.030549742692720497,0.0321838080237975,1.0,0.2591330613865696,-0.10123154265370202,-0.12837974713609224,-0.026962482294393818,0.17869158306518645,-0.0019718291807930242,0.07421294367541716,-0.13245567434846928,-0.11881692217719855,-0.2550562858490741
years_since_built_2011,-0.20112640974117116,-0.09516442436258386,-0.6044425709811133,0.2591330613865696,1.0,0.6077304191409252,-0.4241480567628199,-0.527757300885037,-0.01050198149692021,-0.08494071391091801,-0.17003281210714663,-0.2776077625271493,-0.6539972443037672,0.14670536823555788
years_since_remodel_2011,-0.37408197615017147,-0.08722597732270514,-0.5341545461251618,-0.10123154265370202,0.6077304191409252,1.0,-0.3718512353522154,-0.42643570279615495,-0.11773622905328548,0.02044640723959892,-0.1909427626061062,-0.22997783740961514,-0.5926341413955162,0.08258016126878641
TotalBsmtSF,0.36848990537567594,0.3647100479467847,0.5886202747742366,-0.12837974713609224,-0.4241480567628199,-0.3718512353522154,1.0,0.4994536806868176,-0.03248543944306271,0.31622929603128014,0.24558709885764451,0.186504722476365,0.6818850503634892,-0.05718647323938971
GarageArea,0.48288841286152506,0.3022279276512931,0.6521759713410663,-0.026962482294393818,-0.527757300885037,-0.42643570279615495,0.4994536806868176,1.0,0.097844709632064,0.28053949704884723,0.2580291150429946,0.2767023162555006,0.7305646616572556,-0.23833213509117548
BedroomAbvGr,0.5114115844208051,0.059932309837405745,0.17144361792909146,0.17869158306518645,-0.01050198149692021,-0.11773622905328548,-0.03248543944306271,0.097844709632064,1.0,0.043378424484432125,0.011240655358700623,0.046965168884517634,0.21895623759910482,-0.2461388042288521
Fireplaces,0.3537425831317202,0.3074090177414607,0.39693774861978237,-0.0019718291807930242,-0.08494071391091801,0.02044640723959892,0.31622929603128014,0.28053949704884723,0.043378424484432125,1.0,0.09810705031326347,0.12343728054499008,0.32704271095823323,-0.17845244185326292
WoodDeckSF,0.29963368742950186,0.36575138478678393,0.28134032280736404,0.07421294367541716,-0.17003281210714663,-0.1909427626061062,0.24558709885764451,0.2580291150429946,0.011240655358700623,0.09810705031326347,1.0,0.024436225951849345,0.28701177753498963,-0.055214027630372475
OpenPorchSF,0.23558658373566196,0.13002777780013952,0.29924802032208886,-0.13245567434846928,-0.2776077625271493,-0.22997783740961514,0.186504722476365,0.2767023162555006,0.046965168884517634,0.12343728054499008,0.024436225951849345,1.0,0.3274219194108933,-0.04122692056232726
sale_price_keur,0.7325887735112123,0.3781459872103554,0.855107672361608,-0.11881692217719855,-0.6539972443037672,-0.5926341413955162,0.6818850503634892,0.7305646616572556,0.21895623759910482,0.32704271095823323,0.28701177753498963,0.3274219194108933,1.0,-0.25159972191810354
distressed,-0.227520702040915,-0.11853626661517629,-0.2795780483412711,-0.2550562858490741,0.14670536823555788,0.08258016126878641,-0.05718647323938971,-0.23833213509117548,-0.2461388042288521,-0.17845244185326292,-0.055214027630372475,-0.04122692056232726,-0.25159972191810354,1.0
