predicted_mean,predicted_sd
0.7104,0.9526
1.1458,0.9526
2.6071,0.9526
2.2895,0.9526
-0.9997,0.9526
-0.8341,0.9526
1.9576,0.9526
0.5783,0.9526
0.1586,0.9526
2.985,0.9526
-0.4275,0.9526
0.4655,0.9526
1.9662,0.9526
3.8484,0.9526
3.699,0.9526
1.6839,0.9526
1.8847,0.9526
-0.4012,0.9526
2.1722,0.9526
1.1683,0.9526
-0.5972,0.9526
-1.5564,0.9526
-1.4468,0.9526
2.713,0.9526
2.5681,0.9526
1.3494,0.9526
1.6485,0.9526
-1.4614,0.9526
-0.7676,0.9526
0.3401,0.9526
-0.5871,0.9526
2.6321,0.9526
-1.0937,0.9526
4.3919,0.9526
1.3625,0.9526
2.9542,0.9526
-1.1753,0.9526
2.7532,0.9526
2.8695,0.9526
4.4052,0.9526
0.6492,0.9526
-2.0209,0.9526
-1.7745,0.9526
1.8027,0.9526
0.8007,0.9526
1.5423,0.9526
0.1149,0.9526
0.8361,0.9526
-2.662,0.9526
0.0516,0.9526
-1.9177,0.9526
-2.0333,0.9526
-0.9476,0.9526
1.7034,0.9526
-3.4706,0.9526
1.6511,0.9526
-0.2685,0.9526
-1.5078,0.9526
1.6559,0.9526
-1.3601,0.9526
1.5827,0.9526
0.5255,0.9526
-1.6757,0.9526
1.5703,0.9526
0.1408,0.9526
1.0231,0.9526
-1.0786,0.9526
-3.1613,0.9526
0.172,0.9526
2.7804,0.9526
-4.5953,0.9526
0.1345,0.9526
2.0281,0.9526
4.5224,0.9526
-0.0394,0.9526
0.1801,0.9526
1.0934,0.9526
-0.4482,0.9526
4.9855,0.9526
-0.2085,0.9526
-2.0044,0.9526
1.8092,0.9526
-1.1488,0.9526
-0.9408,0.9526
1.3337,0.9526
-2.1264,0.9526
-0.5699,0.9526
1.9793,0.9526
0.1406,0.9526
1.4105,0.9526
1.831,0.9526
1.0186,0.9526
-1.5683,0.9526
0.0818,0.9526
1.3528,0.9526
0.4043,0.9526
3.7413,0.9526
0.1674,0.9526
-0.8265,0.9526
-2.0034,0.9526
