prob_class1,ci_lower,ci_upper
0.9919641086,0.9650023026,0.9981937414
0.2025295178,0.1282123148,0.3048601205
0.6457811915,0.5500601367,0.7310936020
0.3514810881,0.2683382491,0.4447266950
0.7510314991,0.6682211219,0.8187782683
0.5841748244,0.4984030212,0.6651341364
0.1932289118,0.1184585428,0.2991770301
0.5875912959,0.4902098928,0.6785680651
0.0769760500,0.0297520575,0.1848739779
0.4841025588,0.3935475993,0.5757136468
0.6992216856,0.5565037968,0.8115638638
0.7229415718,0.6399165339,0.7930153729
0.0818409766,0.0311209996,0.1983040146
0.6367978549,0.5545039264,0.7117913189
0.6138125216,0.5261097877,0.6947029173
0.8821487954,0.7923690305,0.9362319440
0.4101907000,0.2941538879,0.5371663205
0.7017090583,0.6045963589,0.7835109642
0.7585755994,0.5327534674,0.8964669375
0.6986161027,0.6005911807,0.7813419981
0.3655908710,0.2902501065,0.4481399959
0.0151297430,0.0048311243,0.0463594570
0.7402292937,0.6512467682,0.8130265705
0.0940773309,0.0351942724,0.2281775889
0.7134273557,0.6316454785,0.7832818064
0.5805755318,0.4760842242,0.6783084718
0.8654916711,0.6701571346,0.9532225619
0.2358567146,0.1585731300,0.3357752693
0.9298003054,0.8485177621,0.9690585736
0.5496774174,0.4651238918,0.6314555388
0.6756552381,0.5923609807,0.7491375139
0.7177936033,0.6341436951,0.7886907832
0.0321756584,0.0128514424,0.0782535282
0.1269589020,0.0490157481,0.2909277356
0.6433483401,0.5562337549,0.7219114371
0.5751698552,0.4834113582,0.6620248823
0.5505465616,0.4676136919,0.6307615828
0.5432808592,0.4582364813,0.6258747864
0.7887856316,0.7060423446,0.8530846896
0.3536754804,0.2283185570,0.5029964827
0.5834315007,0.4843303022,0.6762194322
0.4005618217,0.2783049222,0.5365934295
0.5752931827,0.4897577776,0.6565452014
0.6380701330,0.5297844574,0.7339421506
0.6737566868,0.5328993297,0.7889592519
0.4952122830,0.4090099298,0.5817002196
0.2346866085,0.1355226385,0.3749398388
0.4874197806,0.4072802225,0.5682113667
0.8193472737,0.7380863254,0.8795120065
0.4797081184,0.3936650171,0.5669721177
0.3286520469,0.2533303490,0.4139530198
0.2122748125,0.1403094793,0.3079303015
0.2483624870,0.1802980087,0.3317235595
0.4249245449,0.3454200196,0.5085125175
0.6345574815,0.4625802429,0.7779219283
0.6693474813,0.5869200027,0.7425420964
0.4366243220,0.3271274945,0.5526685942
0.0549728531,0.0259994959,0.1125041569
0.5821077536,0.4921902899,0.6668795477
0.1109365171,0.0582725475,0.2010353017
0.6719140695,0.5898096079,0.7446979682
0.8654213429,0.7814861147,0.9203995029
0.4335093742,0.3515335208,0.5192931704
0.4198805155,0.3164666403,0.5308432426
0.3452582202,0.2708862680,0.4280611598
0.5001745007,0.4150832643,0.5852556306
0.6660147852,0.4225530175,0.8445831066
0.8488116402,0.7176056375,0.9253945086
0.7113017813,0.5712673166,0.8200086497
0.5145745324,0.4336415564,0.5947502880
0.3832560465,0.3066262015,0.4661614326
0.1787672594,0.1067639530,0.2838968779
0.6353864363,0.5482036777,0.7145069818
0.2255679798,0.1357870715,0.3506267410
0.7168944379,0.5953118858,0.8133989462
0.4849615347,0.4051840810,0.5655128069
0.2373520315,0.1678183803,0.3244631143
0.3852992507,0.2498508413,0.5412007293
0.6026864955,0.4069771991,0.7702668664
0.7622906141,0.6690845707,0.8356910361
0.7113148913,0.5897366782,0.8085600082
0.3568375505,0.2587016742,0.4686646680
0.1490805019,0.0836545093,0.2516250503
0.0596018747,0.0237584617,0.1416732741
0.7874145401,0.6809669131,0.8653671756
0.5259600610,0.4391676745,0.6112116272
0.0665953916,0.0251002663,0.1650738117
0.5637166947,0.4803419206,0.6436387969
0.1956389229,0.1272849699,0.2885627953
0.6877791908,0.6019483306,0.7624075735
0.2882514234,0.2153575686,0.3740561145
0.6617176273,0.5744346345,0.7392257272
0.3921658918,0.3069361411,0.4845170319
0.6491989086,0.5623544344,0.7271710362
0.7215517806,0.6308146957,0.7971588167
0.4613306728,0.3244806028,0.6042684549
0.7327750587,0.6158500040,0.8242665570
0.1386795021,0.0393013183,0.3878877854
0.2274516450,0.1604257129,0.3120720760
0.1704774494,0.1026424124,0.2696712149
