model,optional_terms,n_optional_terms,log_loss_mean,log_loss_sd,auc_mean,auc_sd,accuracy_mean,f1_mean
main + x1_sq + x2_x3,"x1_sq, x2_x3",2,0.5398529249649308,0.05756676634681423,0.8022855752423328,0.046588617030681415,0.7166666666666667,0.7043629105886154
main + x1_sq + x3_sq + x2_x3,"x1_sq, x3_sq, x2_x3",3,0.5405756940208221,0.06403877424838728,0.8058959856189416,0.04763106117109707,0.7240000000000001,0.7139740703129166
main + x1_sq + x1_x2 + x2_x3,"x1_sq, x1_x2, x2_x3",3,0.5410037151758962,0.055865114218451056,0.8022848303670745,0.04513454780857187,0.7233333333333333,0.7090096256636188
main + x1_sq + x3_sq + x1_x2 + x2_x3,"x1_sq, x3_sq, x1_x2, x2_x3",4,0.5421125607883334,0.062114248338784116,0.8044690529159384,0.04598508014132348,0.726,0.7144096531218621
main + x1_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x1_x2, x1_x3, x2_x3",4,0.542518997075882,0.058504727688581656,0.8040727792785635,0.047211976822619274,0.722,0.7066039232828046
main + x1_sq + x1_x3 + x2_x3,"x1_sq, x1_x3, x2_x3",3,0.5426474739127383,0.06119324224738644,0.8022885547433657,0.04919292718744996,0.7146666666666667,0.7019620702912267
main + x1_sq + x2_sq + x2_x3,"x1_sq, x2_sq, x2_x3",3,0.5429593237880409,0.05887714563594653,0.7983232361353885,0.0476385247121144,0.71,0.6969312867934364
main + x1_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x3_sq, x1_x2, x1_x3, x2_x3",5,0.5430259249483919,0.06436161688367036,0.8071937569521691,0.049757857210531095,0.728,0.7133634361733157
main + x1_sq + x3_sq + x1_x3 + x2_x3,"x1_sq, x3_sq, x1_x3, x2_x3",4,0.5431274140429095,0.06693051656141961,0.8056333426028921,0.050327198901453235,0.72,0.7081171077445869
main + x1_sq + x2_sq + x1_x2 + x2_x3,"x1_sq, x2_sq, x1_x2, x2_x3",4,0.5440373392477524,0.05759062842828863,0.799393025981249,0.04612502565554157,0.7153333333333333,0.7010711656566981
main + x2_x3,x2_x3,1,0.5443958822559342,0.05769092914298938,0.792430974892738,0.05295264186784263,0.7053333333333334,0.6824693703481408
main + x1_sq + x2_sq + x3_sq + x2_x3,"x1_sq, x2_sq, x3_sq, x2_x3",4,0.5444782042208991,0.06423325682169068,0.8006385567296996,0.048212680494405566,0.7153333333333333,0.7023505778537574
main + x1_x2 + x2_x3,"x1_x2, x2_x3",2,0.5454620435168249,0.05595852948639414,0.7953282913554743,0.05143393336782306,0.7106666666666667,0.6871140243825109
main + x3_sq + x2_x3,"x3_sq, x2_x3",2,0.5455003375703829,0.06473809615859603,0.7954186198951215,0.05350297987876204,0.7086666666666666,0.6835899767552627
main + x1_sq + x2_sq + x1_x3 + x2_x3,"x1_sq, x2_sq, x1_x3, x2_x3",4,0.5457387391302987,0.0622967457404616,0.796811784919752,0.04916129798870211,0.7073333333333334,0.6923426972264758
main + x1_sq + x2_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x2_sq, x1_x2, x1_x3, x2_x3",5,0.5457916696090088,0.0602467397369476,0.800644664706817,0.04863505566188284,0.7140000000000001,0.6984331958848355
main + x1_sq + x2_sq + x3_sq + x1_x2 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x2_x3",5,0.5458987254645495,0.06279467820450052,0.8005924241220405,0.04611884081001062,0.7193333333333334,0.7061876152295031
main + x1_x3 + x2_x3,"x1_x3, x2_x3",2,0.5465568417302564,0.061527048387756036,0.7942150504528841,0.05376543801067005,0.7120000000000001,0.6882127748903227
main + x3_sq + x1_x3 + x2_x3,"x3_sq, x1_x3, x2_x3",3,0.5467452676599743,0.0682344392852653,0.7968018035912919,0.05543472519861983,0.708,0.6829984440892907
main + x1_x2 + x1_x3 + x2_x3,"x1_x2, x1_x3, x2_x3",3,0.5468525251870937,0.05932125457273015,0.7963988260765931,0.05431672353786992,0.7173333333333334,0.6923921026531366
main + x1_sq + x2_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x1_x3, x2_x3",6,0.5470679977686694,0.06494864868031265,0.8032291832194502,0.049764907278285295,0.7206666666666667,0.7048992752027992
main + x3_sq + x1_x2 + x2_x3,"x3_sq, x1_x2, x2_x3",3,0.547074114801453,0.06317551105532833,0.7972903424439853,0.05188813848710608,0.7126666666666667,0.6883283519310853
main + x1_sq + x2_sq + x3_sq + x1_x3 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x3, x2_x3",5,0.5471015657762553,0.06695683683207225,0.8006891585889083,0.05088702530104084,0.7126666666666667,0.6968649991951904
main + x3_sq + x1_x2 + x1_x3 + x2_x3,"x3_sq, x1_x2, x1_x3, x2_x3",4,0.5472898084506136,0.06644296759141483,0.8001442078499921,0.05498055281827976,0.7193333333333334,0.6940975008707944
main + x2_sq + x2_x3,"x2_sq, x2_x3",2,0.5477149373147312,0.05801981781931814,0.7896248808199587,0.05172732179506044,0.7073333333333334,0.6849753267290037
main + x2_sq + x1_x2 + x2_x3,"x2_sq, x1_x2, x2_x3",3,0.5487467997754372,0.05686917901317254,0.7926137176227555,0.05159448826020213,0.7133333333333333,0.6909663615053965
main + x2_sq + x3_sq + x2_x3,"x2_sq, x3_sq, x2_x3",3,0.5495379401728719,0.06411296815417263,0.791675919672652,0.05213483532174035,0.7066666666666667,0.6823153110250004
main + x2_sq + x1_x3 + x2_x3,"x2_sq, x1_x3, x2_x3",3,0.5497207093850038,0.0618277286813371,0.7902500297950104,0.053897456058903545,0.7073333333333334,0.6848199209752438
main + x2_sq + x1_x2 + x1_x3 + x2_x3,"x2_sq, x1_x2, x1_x3, x2_x3",4,0.5500541507232277,0.0603749933287077,0.7933698156682027,0.05373707553073672,0.7146666666666667,0.6906387153492566
main + x2_sq + x3_sq + x1_x3 + x2_x3,"x2_sq, x3_sq, x1_x3, x2_x3",4,0.5507125744966249,0.0675619669858156,0.7938623768472907,0.05538743695561031,0.7033333333333333,0.6786226289605493
main + x2_sq + x3_sq + x1_x2 + x2_x3,"x2_sq, x3_sq, x1_x2, x2_x3",4,0.5509657356818812,0.06312154919591721,0.792878893214683,0.05198286452210122,0.7113333333333333,0.6875484070116843
main + x2_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x2_sq, x3_sq, x1_x2, x1_x3, x2_x3",5,0.5511167554293074,0.06642670432493768,0.7961345443349753,0.054896713904762064,0.7140000000000001,0.6877418477194399
main + x1_x3,x1_x3,1,0.6399581972430198,0.05994552764598629,0.6983607281900523,0.07820060707740287,0.618,0.5837229064839132
main + x1_sq,x1_sq,1,0.6401655621319597,0.054303408375806224,0.6725860579215001,0.07845817122591575,0.6353333333333333,0.641693451111085
main effects only,none,0,0.6409984124858853,0.05611461574049484,0.6906863280629271,0.07525583455322536,0.614,0.5821346992744239
main + x3_sq + x1_x3,"x3_sq, x1_x3",2,0.6413650931366494,0.06312537645624351,0.6995605732559987,0.08084646915569513,0.6386666666666667,0.6044370021738442
main + x1_sq + x1_x2,"x1_sq, x1_x2",2,0.6419300602944831,0.05396895267832773,0.6732070355951056,0.07945363623844903,0.64,0.6468154063232933
main + x1_x2 + x1_x3,"x1_x2, x1_x3",2,0.6422593954895991,0.059307732721761555,0.6959023915461624,0.07701801381550893,0.624,0.5901988440967462
main + x1_sq + x1_x3,"x1_sq, x1_x3",2,0.6428498983828999,0.05937260138493959,0.684360152153186,0.07678633064619116,0.6353333333333333,0.6395799091841216
main + x1_sq + x1_x2 + x1_x3,"x1_sq, x1_x2, x1_x3",3,0.6430915488193618,0.05822887797667269,0.6868519585253456,0.07836076592806462,0.648,0.652125452480773
main + x1_sq + x3_sq,"x1_sq, x3_sq",2,0.6435205573068487,0.056232683175247225,0.6784671460352772,0.07644623117661196,0.636,0.6438162910649203
main + x2_sq + x1_x3,"x2_sq, x1_x3",2,0.6436503118009342,0.06030454474182287,0.6963985281264898,0.07837114137969439,0.6206666666666667,0.5871801407399648
main + x3_sq,x3_sq,1,0.6437195737111391,0.05888209384301393,0.6919796301446052,0.07426618544586899,0.6326666666666667,0.5998809039229928
main + x1_sq + x2_sq,"x1_sq, x2_sq",2,0.6440331953917585,0.05421890685228829,0.6714740088193232,0.07852416125823787,0.634,0.6393665745313645
main + x1_x2,x1_x2,1,0.6440934896034705,0.05608562975416921,0.687518472906404,0.07410595595219216,0.6166666666666667,0.5837157974384254
main + x3_sq + x1_x2 + x1_x3,"x3_sq, x1_x2, x1_x3",3,0.644111096662693,0.062208318101964484,0.6972825957412998,0.08007788899096166,0.644,0.6083529011677604
main + x2_sq,x2_sq,1,0.6447822006811265,0.056032297201068365,0.6883704115684094,0.07479139823180814,0.6193333333333334,0.5875607571450501
main + x2_sq + x3_sq + x1_x3,"x2_sq, x3_sq, x1_x3",3,0.645315632569739,0.06307510193401956,0.6970230812013348,0.08126745577617259,0.64,0.6069241086527901
main + x1_sq + x3_sq + x1_x2,"x1_sq, x3_sq, x1_x2",3,0.6459707428808471,0.055667597155714926,0.6769934848244081,0.07746404316226153,0.6386666666666667,0.6464311752694925
main + x1_sq + x3_sq + x1_x3,"x1_sq, x3_sq, x1_x3",3,0.6462341537006837,0.06235227785505921,0.6927416871921181,0.07803842682748943,0.6433333333333333,0.6468227933977733
main + x1_sq + x2_sq + x1_x2,"x1_sq, x2_sq, x1_x2",3,0.646274957134288,0.05391254608752515,0.6701330843794693,0.07903984417942368,0.64,0.6453901659699095
main + x2_sq + x1_x2 + x1_x3,"x2_sq, x1_x2, x1_x3",3,0.6463084925955698,0.05973209092435108,0.6936288832830129,0.07629787638582056,0.6246666666666667,0.5892912027615604
main + x1_sq + x2_sq + x1_x3,"x1_sq, x2_sq, x1_x3",3,0.6467619498808438,0.05949735652054875,0.681865664230097,0.07779777083523809,0.636,0.6395048332779489
main + x1_sq + x3_sq + x1_x2 + x1_x3,"x1_sq, x3_sq, x1_x2, x1_x3",4,0.6470995646689596,0.060715461812808985,0.6930506117908787,0.07866998131607329,0.6486666666666666,0.6523194866786252
main + x1_sq + x2_sq + x1_x2 + x1_x3,"x1_sq, x2_sq, x1_x2, x1_x3",4,0.6474945047784932,0.058353915672317555,0.6831522624344509,0.07762001974512443,0.642,0.6456539322783625
main + x3_sq + x1_x2,"x3_sq, x1_x2",2,0.647555085245064,0.058806115319229815,0.6876053750198633,0.07335322812154184,0.6333333333333333,0.6008364513780605
main + x1_sq + x2_sq + x3_sq,"x1_sq, x2_sq, x3_sq",3,0.6475639540037402,0.05575864867194258,0.6746814416812331,0.07736104436359365,0.63,0.6341800627795279
main + x2_sq + x3_sq,"x2_sq, x3_sq",2,0.6476857059060819,0.05839183135399438,0.6885049360400446,0.07588604127763081,0.6346666666666667,0.6043319188587466
main + x2_sq + x1_x2,"x2_sq, x1_x2",2,0.6482425919776874,0.056010137448285924,0.684665948275862,0.07467866682227706,0.624,0.5920186804406036
main + x2_sq + x3_sq + x1_x2 + x1_x3,"x2_sq, x3_sq, x1_x2, x1_x3",4,0.6483850819736788,0.062159200615196974,0.6938526934689336,0.0788605507300624,0.6446666666666667,0.6105924864153244
main + x1_sq + x2_sq + x3_sq + x1_x3,"x1_sq, x2_sq, x3_sq, x1_x3",4,0.6503577030037644,0.062132057443286266,0.6891800909740983,0.07816052031589435,0.64,0.6406717737064964
main + x1_sq + x2_sq + x3_sq + x1_x2,"x1_sq, x2_sq, x3_sq, x1_x2",4,0.6505109352910436,0.05513826009585554,0.6727606070236771,0.07660068918206075,0.6326666666666667,0.6362835849041178
main + x1_sq + x2_sq + x3_sq + x1_x2 + x1_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x1_x3",5,0.6517149241135334,0.060380748782471884,0.6881936278404577,0.07716335055520522,0.6426666666666666,0.6435756461068456
main + x2_sq + x3_sq + x1_x2,"x2_sq, x3_sq, x1_x2",3,0.6518818131803853,0.05831398103002609,0.6839533012871445,0.07413861191049313,0.6353333333333333,0.6045993470267236
