model,optional_terms,n_optional_terms,fold,log_loss,auc,accuracy,f1
main effects only,none,0,1,0.6382504160607977,0.7209821428571429,0.6166666666666667,0.6349206349206349
main + x1_sq,x1_sq,1,1,0.6407789186148906,0.7142857142857143,0.5833333333333334,0.647887323943662
main + x2_sq,x2_sq,1,1,0.6396405943407077,0.71875,0.6333333333333333,0.6451612903225806
main + x3_sq,x3_sq,1,1,0.6327684372972077,0.7388392857142858,0.6833333333333333,0.6885245901639344
main + x1_x2,x1_x2,1,1,0.6560756352271102,0.7109374999999999,0.65,0.6557377049180327
main + x1_x3,x1_x3,1,1,0.6384743656350698,0.7388392857142858,0.6333333333333333,0.6451612903225806
main + x2_x3,x2_x3,1,1,0.4816117403009371,0.8515625,0.7666666666666667,0.7407407407407407
main + x1_sq + x2_sq,"x1_sq, x2_sq",2,1,0.6417987953006631,0.7154017857142858,0.5833333333333334,0.647887323943662
main + x1_sq + x3_sq,"x1_sq, x3_sq",2,1,0.6354083650157029,0.7488839285714286,0.5666666666666667,0.6285714285714286
main + x1_sq + x1_x2,"x1_sq, x1_x2",2,1,0.6555231631306201,0.6897321428571428,0.5833333333333334,0.6376811594202898
main + x1_sq + x1_x3,"x1_sq, x1_x3",2,1,0.6361946081536729,0.7388392857142858,0.5833333333333334,0.647887323943662
main + x1_sq + x2_x3,"x1_sq, x2_x3",2,1,0.47712454169577967,0.84375,0.75,0.7368421052631579
main + x2_sq + x3_sq,"x2_sq, x3_sq",2,1,0.6344022873148893,0.7366071428571429,0.6833333333333333,0.6885245901639344
main + x2_sq + x1_x2,"x2_sq, x1_x2",2,1,0.6610431718114188,0.7053571428571428,0.6666666666666666,0.6774193548387096
main + x2_sq + x1_x3,"x2_sq, x1_x3",2,1,0.6395517495032059,0.7399553571428572,0.6333333333333333,0.6451612903225806
main + x2_sq + x2_x3,"x2_sq, x2_x3",2,1,0.4797641845441399,0.8515625,0.75,0.7169811320754716
main + x3_sq + x1_x2,"x3_sq, x1_x2",2,1,0.6516366817913056,0.7265625,0.6833333333333333,0.6885245901639344
main + x3_sq + x1_x3,"x3_sq, x1_x3",2,1,0.6298400785277856,0.7622767857142857,0.7,0.7
main + x3_sq + x2_x3,"x3_sq, x2_x3",2,1,0.46901885823442274,0.8660714285714286,0.7833333333333333,0.7547169811320755
main + x1_x2 + x1_x3,"x1_x2, x1_x3",2,1,0.6549692522951395,0.7354910714285714,0.6666666666666666,0.6666666666666666
main + x1_x2 + x2_x3,"x1_x2, x2_x3",2,1,0.48702928596104894,0.8571428571428572,0.7833333333333333,0.7636363636363637
main + x1_x3 + x2_x3,"x1_x3, x2_x3",2,1,0.4826795032354196,0.8526785714285714,0.7833333333333333,0.7636363636363637
main + x1_sq + x2_sq + x3_sq,"x1_sq, x2_sq, x3_sq",3,1,0.6366979432237164,0.7477678571428572,0.5666666666666667,0.6285714285714286
main + x1_sq + x2_sq + x1_x2,"x1_sq, x2_sq, x1_x2",3,1,0.6591375385747096,0.6808035714285714,0.5833333333333334,0.6376811594202898
main + x1_sq + x2_sq + x1_x3,"x1_sq, x2_sq, x1_x3",3,1,0.6368741794345687,0.7399553571428572,0.5833333333333334,0.647887323943662
main + x1_sq + x2_sq + x2_x3,"x1_sq, x2_sq, x2_x3",3,1,0.4731334181912852,0.8493303571428572,0.75,0.7368421052631579
main + x1_sq + x3_sq + x1_x2,"x1_sq, x3_sq, x1_x2",3,1,0.6509595382169517,0.7087053571428572,0.5666666666666667,0.6176470588235294
main + x1_sq + x3_sq + x1_x3,"x1_sq, x3_sq, x1_x3",3,1,0.6282356420562419,0.7611607142857142,0.6,0.6470588235294118
main + x1_sq + x3_sq + x2_x3,"x1_sq, x3_sq, x2_x3",3,1,0.4634487317513643,0.8627232142857143,0.75,0.7457627118644068
main + x1_sq + x1_x2 + x1_x3,"x1_sq, x1_x2, x1_x3",3,1,0.6516516514633721,0.7198660714285714,0.65,0.6865671641791045
main + x1_sq + x1_x2 + x2_x3,"x1_sq, x1_x2, x2_x3",3,1,0.47901819302255216,0.8504464285714286,0.7666666666666667,0.75
main + x1_sq + x1_x3 + x2_x3,"x1_sq, x1_x3, x2_x3",3,1,0.47614179526270817,0.8526785714285714,0.75,0.7368421052631579
main + x2_sq + x3_sq + x1_x2,"x2_sq, x3_sq, x1_x2",3,1,0.6566965475189986,0.71875,0.6833333333333333,0.6885245901639344
main + x2_sq + x3_sq + x1_x3,"x2_sq, x3_sq, x1_x3",3,1,0.631319383086494,0.7645089285714286,0.7,0.7
main + x2_sq + x3_sq + x2_x3,"x2_sq, x3_sq, x2_x3",3,1,0.4685880655887197,0.8649553571428572,0.7833333333333333,0.7547169811320755
main + x2_sq + x1_x2 + x1_x3,"x2_sq, x1_x2, x1_x3",3,1,0.6591006265662565,0.7265625,0.6833333333333333,0.6885245901639344
main + x2_sq + x1_x2 + x2_x3,"x2_sq, x1_x2, x2_x3",3,1,0.48637866847124844,0.8571428571428572,0.7833333333333333,0.7636363636363637
main + x2_sq + x1_x3 + x2_x3,"x2_sq, x1_x3, x2_x3",3,1,0.48039826690649434,0.8560267857142857,0.7833333333333333,0.7636363636363637
main + x3_sq + x1_x2 + x1_x3,"x3_sq, x1_x2, x1_x3",3,1,0.6472953425621968,0.7488839285714286,0.7,0.7
main + x3_sq + x1_x2 + x2_x3,"x3_sq, x1_x2, x2_x3",3,1,0.4751317814370817,0.8727678571428572,0.7833333333333333,0.7636363636363637
main + x3_sq + x1_x3 + x2_x3,"x3_sq, x1_x3, x2_x3",3,1,0.4678334617305572,0.8683035714285714,0.8,0.7777777777777778
main + x1_x2 + x1_x3 + x2_x3,"x1_x2, x1_x3, x2_x3",3,1,0.4877041338945295,0.8627232142857143,0.7833333333333333,0.7636363636363637
main + x1_sq + x2_sq + x3_sq + x1_x2,"x1_sq, x2_sq, x3_sq, x1_x2",4,1,0.6547243080554903,0.703125,0.5666666666666667,0.6176470588235294
main + x1_sq + x2_sq + x3_sq + x1_x3,"x1_sq, x2_sq, x3_sq, x1_x3",4,1,0.629307646998999,0.7611607142857143,0.6,0.6470588235294118
main + x1_sq + x2_sq + x3_sq + x2_x3,"x1_sq, x2_sq, x3_sq, x2_x3",4,1,0.46137690544726606,0.8638392857142857,0.7666666666666667,0.75
main + x1_sq + x2_sq + x1_x2 + x1_x3,"x1_sq, x2_sq, x1_x2, x1_x3",4,1,0.655098402448456,0.7154017857142857,0.6333333333333333,0.6666666666666666
main + x1_sq + x2_sq + x1_x2 + x2_x3,"x1_sq, x2_sq, x1_x2, x2_x3",4,1,0.4760954230327811,0.8549107142857142,0.7666666666666667,0.75
main + x1_sq + x2_sq + x1_x3 + x2_x3,"x1_sq, x2_sq, x1_x3, x2_x3",4,1,0.47182657062212546,0.8526785714285714,0.7333333333333333,0.7142857142857143
main + x1_sq + x3_sq + x1_x2 + x1_x3,"x1_sq, x3_sq, x1_x2, x1_x3",4,1,0.6445592825834808,0.7410714285714286,0.65,0.676923076923077
main + x1_sq + x3_sq + x1_x2 + x2_x3,"x1_sq, x3_sq, x1_x2, x2_x3",4,1,0.466192033153856,0.8649553571428572,0.7666666666666667,0.75
main + x1_sq + x3_sq + x1_x3 + x2_x3,"x1_sq, x3_sq, x1_x3, x2_x3",4,1,0.461064516647088,0.8694196428571429,0.7666666666666667,0.75
main + x1_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x1_x2, x1_x3, x2_x3",4,1,0.4775663797695272,0.8549107142857143,0.7833333333333333,0.7719298245614035
main + x2_sq + x3_sq + x1_x2 + x1_x3,"x2_sq, x3_sq, x1_x2, x1_x3",4,1,0.6517983021954797,0.7455357142857142,0.7,0.7
main + x2_sq + x3_sq + x1_x2 + x2_x3,"x2_sq, x3_sq, x1_x2, x2_x3",4,1,0.47568348234433205,0.8716517857142858,0.7833333333333333,0.7636363636363637
main + x2_sq + x3_sq + x1_x3 + x2_x3,"x2_sq, x3_sq, x1_x3, x2_x3",4,1,0.4672660082469657,0.8705357142857142,0.8,0.7777777777777778
main + x2_sq + x1_x2 + x1_x3 + x2_x3,"x2_sq, x1_x2, x1_x3, x2_x3",4,1,0.486915120578473,0.8627232142857143,0.7833333333333333,0.7636363636363637
main + x3_sq + x1_x2 + x1_x3 + x2_x3,"x3_sq, x1_x2, x1_x3, x2_x3",4,1,0.4732373253986458,0.8794642857142858,0.8,0.7777777777777778
main + x1_sq + x2_sq + x3_sq + x1_x2 + x1_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x1_x3",5,1,0.6483511491518477,0.734375,0.65,0.676923076923077
main + x1_sq + x2_sq + x3_sq + x1_x2 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x2_x3",5,1,0.46491665488327744,0.8649553571428572,0.7666666666666667,0.75
main + x1_sq + x2_sq + x3_sq + x1_x3 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x3, x2_x3",5,1,0.4589406473319467,0.8671875,0.7833333333333333,0.7636363636363637
main + x1_sq + x2_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x2_sq, x1_x2, x1_x3, x2_x3",5,1,0.4749328379604574,0.8582589285714286,0.7666666666666667,0.75
main + x1_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x3_sq, x1_x2, x1_x3, x2_x3",5,1,0.4628297224608172,0.8705357142857142,0.8,0.7857142857142857
main + x2_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x2_sq, x3_sq, x1_x2, x1_x3, x2_x3",5,1,0.47396808557314096,0.8761160714285714,0.8,0.7777777777777778
main + x1_sq + x2_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x1_x3, x2_x3",6,1,0.4621260359103055,0.8705357142857142,0.8,0.7857142857142857
main effects only,none,0,2,0.6046488743915795,0.7444196428571428,0.6166666666666667,0.5660377358490566
main + x1_sq,x1_sq,1,2,0.6036587877549493,0.7254464285714286,0.65,0.6440677966101694
main + x2_sq,x2_sq,1,2,0.6041596375740662,0.7433035714285715,0.6166666666666667,0.5660377358490566
main + x3_sq,x3_sq,1,2,0.6047992615817448,0.7421875,0.65,0.6037735849056604
main + x1_x2,x1_x2,1,2,0.6032076060907644,0.7421875,0.6333333333333333,0.5925925925925926
main + x1_x3,x1_x3,1,2,0.6001552797161663,0.7533482142857143,0.6166666666666667,0.5660377358490566
main + x2_x3,x2_x3,1,2,0.5221759693907762,0.8136160714285714,0.7333333333333333,0.7142857142857143
main + x1_sq + x2_sq,"x1_sq, x2_sq",2,2,0.6028650979207223,0.7276785714285714,0.65,0.6440677966101694
main + x1_sq + x3_sq,"x1_sq, x3_sq",2,2,0.6027767507853883,0.7321428571428571,0.6333333333333333,0.6333333333333333
main + x1_sq + x1_x2,"x1_sq, x1_x2",2,2,0.6021826299236267,0.7332589285714286,0.65,0.6440677966101694
main + x1_sq + x1_x3,"x1_sq, x1_x3",2,2,0.5993198666204677,0.7377232142857142,0.6333333333333333,0.6206896551724138
main + x1_sq + x2_x3,"x1_sq, x2_x3",2,2,0.5202636594156075,0.8236607142857143,0.7833333333333333,0.7868852459016393
main + x2_sq + x3_sq,"x2_sq, x3_sq",2,2,0.604641424743789,0.7433035714285714,0.65,0.6037735849056604
main + x2_sq + x1_x2,"x2_sq, x1_x2",2,2,0.602875265050775,0.7410714285714286,0.6333333333333333,0.5925925925925926
main + x2_sq + x1_x3,"x2_sq, x1_x3",2,2,0.599575226715652,0.7533482142857143,0.6166666666666667,0.5660377358490566
main + x2_sq + x2_x3,"x2_sq, x2_x3",2,2,0.5222938599694084,0.8113839285714286,0.75,0.7368421052631579
main + x3_sq + x1_x2,"x3_sq, x1_x2",2,2,0.6036416108247358,0.7410714285714286,0.65,0.6037735849056604
main + x3_sq + x1_x3,"x3_sq, x1_x3",2,2,0.5989169140765721,0.7589285714285714,0.6666666666666666,0.6153846153846154
main + x3_sq + x2_x3,"x3_sq, x2_x3",2,2,0.5325608313924703,0.8035714285714286,0.7333333333333333,0.7142857142857143
main + x1_x2 + x1_x3,"x1_x2, x1_x3",2,2,0.5980403924873868,0.7488839285714286,0.6333333333333333,0.5925925925925926
main + x1_x2 + x2_x3,"x1_x2, x2_x3",2,2,0.519885406986804,0.8214285714285714,0.7166666666666667,0.7017543859649122
main + x1_x3 + x2_x3,"x1_x3, x2_x3",2,2,0.5187846404536168,0.8214285714285714,0.75,0.7368421052631579
main + x1_sq + x2_sq + x3_sq,"x1_sq, x2_sq, x3_sq",3,2,0.6023577863157031,0.7332589285714285,0.6666666666666666,0.6551724137931034
main + x1_sq + x2_sq + x1_x2,"x1_sq, x2_sq, x1_x2",3,2,0.6014389496006544,0.734375,0.65,0.6440677966101694
main + x1_sq + x2_sq + x1_x3,"x1_sq, x2_sq, x1_x3",3,2,0.5984229763250449,0.7410714285714286,0.6333333333333333,0.6206896551724138
main + x1_sq + x2_sq + x2_x3,"x1_sq, x2_sq, x2_x3",3,2,0.5201190480883154,0.8225446428571429,0.7666666666666667,0.7666666666666667
main + x1_sq + x3_sq + x1_x2,"x1_sq, x3_sq, x1_x2",3,2,0.6014887675875956,0.7410714285714286,0.65,0.6440677966101694
main + x1_sq + x3_sq + x1_x3,"x1_sq, x3_sq, x1_x3",3,2,0.5969575843990645,0.7455357142857142,0.6666666666666666,0.6666666666666666
main + x1_sq + x3_sq + x2_x3,"x1_sq, x3_sq, x2_x3",3,2,0.5297946762235219,0.8113839285714286,0.75,0.7457627118644068
main + x1_sq + x1_x2 + x1_x3,"x1_sq, x1_x2, x1_x3",3,2,0.5969140195747938,0.7466517857142857,0.6833333333333333,0.6885245901639344
main + x1_sq + x1_x2 + x2_x3,"x1_sq, x1_x2, x2_x3",3,2,0.517226894253262,0.8247767857142858,0.7666666666666667,0.7666666666666667
main + x1_sq + x1_x3 + x2_x3,"x1_sq, x1_x3, x2_x3",3,2,0.5171377336819388,0.8225446428571428,0.7833333333333333,0.7868852459016393
main + x2_sq + x3_sq + x1_x2,"x2_sq, x3_sq, x1_x2",3,2,0.6035857784008261,0.7399553571428571,0.65,0.6037735849056604
main + x2_sq + x3_sq + x1_x3,"x2_sq, x3_sq, x1_x3",3,2,0.5987133691497223,0.7611607142857142,0.6666666666666666,0.6153846153846154
main + x2_sq + x3_sq + x2_x3,"x2_sq, x3_sq, x2_x3",3,2,0.5324656631951679,0.8035714285714286,0.7333333333333333,0.7142857142857143
main + x2_sq + x1_x2 + x1_x3,"x2_sq, x1_x2, x1_x3",3,2,0.5976348349995134,0.75,0.6333333333333333,0.5925925925925926
main + x2_sq + x1_x2 + x2_x3,"x2_sq, x1_x2, x2_x3",3,2,0.5208001778057599,0.8258928571428572,0.7333333333333333,0.7142857142857143
main + x2_sq + x1_x3 + x2_x3,"x2_sq, x1_x3, x2_x3",3,2,0.5187146101423397,0.8203125,0.75,0.7368421052631579
main + x3_sq + x1_x2 + x1_x3,"x3_sq, x1_x2, x1_x3",3,2,0.597118409578625,0.7589285714285714,0.6833333333333333,0.6415094339622641
main + x3_sq + x1_x2 + x2_x3,"x3_sq, x1_x2, x2_x3",3,2,0.5303503999014167,0.8069196428571429,0.7333333333333333,0.7142857142857143
main + x3_sq + x1_x3 + x2_x3,"x3_sq, x1_x3, x2_x3",3,2,0.5275099458750843,0.8046875,0.7333333333333333,0.7142857142857143
