Logistic nonlinear term selection
=================================

Method: all models keep x1, x2, x3. I tested all 64 subsets of:
x1_sq, x2_sq, x3_sq, x1_x2, x1_x3, x2_x3

Top 20 models by 5-fold CV log-loss:
                          optional_terms  n_optional_terms  cv_log_loss_mean  cv_log_loss_sd  cv_auc_mean  cv_accuracy_mean  cv_f1_mean  full_data_aic
              x1_sq, x3_sq, x1_x3, x2_x3                 4            0.5297          0.0476       0.8152            0.7300      0.7202       324.7867
                     x1_sq, x1_x3, x2_x3                 3            0.5300          0.0374       0.8121            0.7233      0.7118       326.0300
       x1_sq, x3_sq, x1_x2, x1_x3, x2_x3                 5            0.5300          0.0452       0.8170            0.7367      0.7255       325.4000
                     x1_sq, x3_sq, x2_x3                 3            0.5302          0.0458       0.8164            0.7267      0.7214       324.0249
                            x1_sq, x2_x3                 2            0.5307          0.0366       0.8121            0.7267      0.7166       324.9898
              x1_sq, x2_sq, x1_x3, x2_x3                 4            0.5309          0.0420       0.8106            0.7200      0.7054       327.0465
              x1_sq, x1_x2, x1_x3, x2_x3                 4            0.5309          0.0374       0.8164            0.7367      0.7243       326.5611
x1_sq, x2_sq, x3_sq, x1_x2, x1_x3, x2_x3                 6            0.5310          0.0472       0.8177            0.7367      0.7230       327.0689
       x1_sq, x2_sq, x1_x2, x1_x3, x2_x3                 5            0.5310          0.0405       0.8159            0.7267      0.7129       327.8435
                     x1_sq, x2_sq, x2_x3                 3            0.5312          0.0398       0.8110            0.7233      0.7125       326.0760
              x1_sq, x2_sq, x1_x2, x2_x3                 4            0.5314          0.0386       0.8146            0.7267      0.7152       327.2070
       x1_sq, x2_sq, x3_sq, x1_x3, x2_x3                 5            0.5314          0.0505       0.8123            0.7267      0.7114       326.2690
              x1_sq, x3_sq, x1_x2, x2_x3                 4            0.5315          0.0439       0.8132            0.7300      0.7222       325.1736
              x1_sq, x2_sq, x3_sq, x2_x3                 4            0.5316          0.0475       0.8137            0.7267      0.7154       325.5223
                     x1_sq, x1_x2, x2_x3                 3            0.5316          0.0362       0.8137            0.7267      0.7154       325.9375
       x1_sq, x2_sq, x3_sq, x1_x2, x2_x3                 5            0.5321          0.0454       0.8130            0.7300      0.7199       326.7835
              x3_sq, x1_x2, x1_x3, x2_x3                 4            0.5356          0.0418       0.8115            0.7233      0.6982       328.6226
                     x3_sq, x1_x3, x2_x3                 3            0.5360          0.0447       0.8059            0.7167      0.6933       327.8853
                     x1_x2, x1_x3, x2_x3                 3            0.5363          0.0346       0.8068            0.7300      0.7074       329.7067
                            x1_x3, x2_x3                 2            0.5366          0.0365       0.8025            0.7233      0.7023       329.0572

Best by CV log-loss: x1_sq, x3_sq, x1_x3, x2_x3 (0.5297)
Simplest model within 0.005 log-loss of best: x1_sq, x2_x3 (0.5307)
